tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
piGrosbeak-1135-Weight-1-32		piGrosbeak-1135-Weight-1-32	AA	none		False																
YB_warbler-1138-Weight-1-21		YB warbler-1138-Weight-1-21	AA	none		False																
R_warbler-1125-Weight-1-21		R warbler-1125-Weight-1-21	AA	none		False																
passerine1-1156-Weight-1-56		passerine1-1156-Weight-1-56	AA	none		False																
greywarble-1097-Weight-1-56		greywarble-1097-Weight-1-56	AA	none		False																
varanus-1064-Weight-1-50		varanus-1064-Weight-1-50	AA	none		False																
bearded_LB-1143-Weight-1-48		bearded LB-1143-Weight-1-48	AA	none		False																
Zvivipara-1094-Weight-1-32		Zvivipara-1094-Weight-1-32	AA	none		False																
lizard-2-A-1075-Weight-1-22		lizard-2-A-1075-Weight-1-22	AA	none		False																
snake-1-A-1085-Weight-1-22		snake-1-A-1085-Weight-1-22	AA	none		False																
wallaby-1079-Weight-1-32		wallaby-1079-Weight-1-32	AA	none		False																
deer-1-A-1075-Weight-1-18		deer-1-A-1075-Weight-1-18	AA	none		False																
bovine-4-D-1073-Weight-1-03		bovine-4-D-1073-Weight-1-03	AA	none		False																
bovine-6-E-1073-Weight-1-03		bovine-6-E-1073-Weight-1-03	AA	none		False																
B7LC597488-1078-Weight-1-19		B7LC597488-1078-Weight-1-19	AA	none		False																
ovine-7-D-1071-Weight-1-19		ovine-7-D-1071-Weight-1-19	AA	none		False																
P11BTmacaw-1076-Weight-1-16		P11BTmacaw-1076-Weight-1-16	AA	none		False																
psittaci3A-1077-Weight-1-05		psittaci3A-1077-Weight-1-05	AA	none		False																
MN025529wh-1076-Weight-1-05		MN025529wh-1076-Weight-1-05	AA	none		False																
duck-1-A-1079-Weight-1-32		duck-1-A-1079-Weight-1-32	AA	none		False																
OL692338te-1078-Weight-1-32		OL692338te-1078-Weight-1-32	AA	none		False																
scalythrus-1078-Weight-1-40		scalythrus-1078-Weight-1-40	AA	none		False																
crane1-1206-Weight-1-30		crane1-1206-Weight-1-30	AA	none		False																
goose-4-A-1254-Weight-0-97		goose-4-A-1254-Weight-0-97	AA	none		False																
duck5-1255-Weight-0-92		duck5-1255-Weight-0-92	AA	none		False																
duck-2-B-1341-Weight-0-92		duck-2-B-1341-Weight-0-92	AA	none		False																
Oriolus-1212-Weight-0-79		Oriolus-1212-Weight-0-79	AA	none		False																
Thru138100-1200-Weight-0-77		Thru138100-1200-Weight-0-77	AA	none		False																
sisk138099-1208-Weight-0-74		sisk138099-1208-Weight-0-74	AA	none		False																
wh-parake2-1229-Weight-0-74		wh-parake2-1229-Weight-0-74	AA	none		False																
townyfrogm-1287-Weight-0-98		townyfrogm-1287-Weight-0-98	AA	none		False																
pigeon-2B-1176-Weight-1-09		pigeon-2B-1176-Weight-1-09	AA	none		False																
pigeon-1A-1264-Weight-1-09		pigeon-1A-1264-Weight-1-09	AA	none		False																
psittaci1C-1256-Weight-0-63		psittaci1C-1256-Weight-0-63	AA	none		False																
psittaci4B-1264-Weight-0-63		psittaci4B-1264-Weight-0-63	AA	none		False																
lovebird12-1263-Weight-0-72		lovebird12-1263-Weight-0-72	AA	none		False																
TGreParrot-1280-Weight-0-72		TGreParrot-1280-Weight-0-72	AA	none		False																
EUscopsowl-1225-Weight-0-76		EUscopsowl-1225-Weight-0-76	AA	none		False																
owl-1252-Weight-0-76		owl-1252-Weight-0-76	AA	none		False																
WBwoodpeck-1247-Weight-1-08		WBwoodpeck-1247-Weight-1-08	AA	none		False																
AmKestrelA-1250-Weight-0-85		AmKestrelA-1250-Weight-0-85	AA	none		False																
gcormorant-1251-Weight-0-85		gcormorant-1251-Weight-0-85	AA	none		False																
turkey-5-D-1247-Weight-0-72		turkey-5-D-1247-Weight-0-72	AA	none		False																
fowl-1-A-1255-Weight-0-72		fowl-1-A-1255-Weight-0-72	AA	none		False																
fowl-4-C-1252-Weight-0-84		fowl-4-C-1252-Weight-0-84	AA	none		False																
D6_Cherry-1297-Weight-0-55		D6 Cherry-1297-Weight-0-55	AA	none		False																
fowl-5-B-1297-Weight-0-55		fowl-5-B-1297-Weight-0-55	AA	none		False																
turkey-4-C-1268-Weight-0-68		turkey-4-C-1268-Weight-0-68	AA	none		False																
fowl-9-D-1306-Weight-0-55		fowl-9-D-1306-Weight-0-55	AA	none		False																
fowl-6-E-1305-Weight-0-55		fowl-6-E-1305-Weight-0-55	AA	none		False																
duck4-1283-Weight-0-92		duck4-1283-Weight-0-92	AA	none		False																
turkey-1-B-1320-Weight-0-87		turkey-1-B-1320-Weight-0-87	AA	none		False																
slider_A-1136-Weight-1-92		slider A-1136-Weight-1-92	AA	none		False																
sturgeon_A-1166-Weight-1-59		sturgeon A-1166-Weight-1-59	AA	none		False																
frog-1-A-1108-Weight-1-14		frog-1-A-1108-Weight-1-14	AA	none		False																
SulawesiCh-1107-Weight-1-14		SulawesiCh-1107-Weight-1-14	AA	none		False																
Psittacin2-1107-Weight-1-22		Psittacin2-1107-Weight-1-22	AA	none		False																
pigeon-4-1105-Weight-1-11		pigeon-4-1105-Weight-1-11	AA	none		False																
comm_murre-1105-Weight-1-11		comm murre-1105-Weight-1-11	AA	none		False																
great_tit1-1108-Weight-1-19		great tit1-1108-Weight-1-19	AA	none		False																
greattit3-1105-Weight-1-19		greattit3-1105-Weight-1-19	AA	none		False																
chinstrapA-1108-Weight-1-14		chinstrapA-1108-Weight-1-14	AA	none		False																
turkey-3-A-1112-Weight-1-06		turkey-3-A-1112-Weight-1-06	AA	none		False																
quail-1112-Weight-1-06		quail-1112-Weight-1-06	AA	none		False																
P5PacificD-1112-Weight-1-03		P5PacificD-1112-Weight-1-03	AA	none		False																
P7corellaE-1110-Weight-1-03		P7corellaE-1110-Weight-1-03	AA	none		False																
SPskua-1-A-1111-Weight-1-06		SPskua-1-A-1111-Weight-1-06	AA	none		False																
raptor-1-A-1110-Weight-1-06		raptor-1-A-1110-Weight-1-06	AA	none		False																
