tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AJ316085_scallion_virus_X	AJ316085	scallion virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus triasparagi	ICTV20083778
AB304848_asparagus_virus_3	AB304848	asparagus virus 3	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus triasparagi	ICTV20083778
D13747_Narcissus_mosaic_virus	D13747	Narcissus mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus narcissi	ICTV19760749
DQ660333_Malva_mosaic_virus	DQ660333	Malva mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus malvae	ICTV20093075
KR872420_Actinidia_virus_X	KR872420	Actinidia virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsplantagonis	ICTV19821286
AB206396_Alstroemeria_virus_X	AB206396	Alstroemeria virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsalstroemeriae	ICTV20083776
AF484251_Pepino_mosaic_virus	AF484251	Pepino mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus pepini	ICTV19791056
AM745758_lettuce_virus_X	AM745758	lettuce virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecslactucae	ICTV20093073
U62963_Cymbidium_mosaic_virus	U62963	Cymbidium mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus cymbidii	ICTV19760747
S73580_potato_aucuba_mosaic_virus	S73580	potato aucuba mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus marmoraucuba	ICTV19952425
X06728_white_clover_mosaic_virus	X06728	white clover mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus trifolii	ICTV19710249
KY288487_cassava_virus_X	KY288487	cassava virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsmanihotis	ICTV19952412
MF078061_Euonymus_yellow_vein_virus	MF078061	Euonymus yellow vein virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus flavivenae	ICTV202009846
D00344_potato_virus_X	D00344	potato virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecspotati	ICTV19710248
KJ711908_yam_virus_X	KJ711908	yam virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsdioscoreae	ICTV20151546
MF150240_Vanilla_virus_X	MF150240	Vanilla virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsvanillae	ICTV20175636
AB219105_Nerine_virus_X	AB219105	Nerine virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsnerinis	ICTV19791054
AF406744_Indian_citrus_ringspot_virus	AF406744	Indian citrus ringspot virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus	Mandarivirus	Potexvirus citrindicum	ICTV20041072
KP313240_citrus_yellow_vein_clearing_virus	KP313240	citrus yellow vein clearing virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus	Mandarivirus	Potexvirus citriflavivenae	ICTV20130804
AB353071_Phaius_virus_X	AB353071	Phaius virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsphaii	ICTV20093082
AY789138_mint_virus_X	AY789138	mint virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecsmenthae	ICTV20083791
AJ633822_lily_virus_X	AJ633822	lily virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Potexvirus ecslilii	ICTV19821280
EU489641_Lolium_latent_virus	EU489641	Lolium latent virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Lolavirus		Lolavirus latenslolii	ICTV20093057
AY055762_Botrytis_virus_X	AY055762	Botrytis virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Botrexvirus		Botrexvirus ecsbotrytis	ICTV20093056
KC923234_donkey_orchid_symptomless_virus	KC923234	donkey orchid symptomless virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Platypuvirus		Platypuvirus asinorchis	ICTV20151552
MF150239_vanilla_latent_virus	MF150239	vanilla latent virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Allexivirus latensvanillae	ICTV20175633
KX058345_Arachis_pintoi_virus	KX058345	Arachis pintoi virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Allexivirus pintoi	ICTV20175632
KY696659_alfalfa_virus_S	KY696659	alfalfa virus S	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Allexivirus sigmamedicagonis	ICTV20175631
JN053266_blackberry_virus_E	JN053266	blackberry virus E	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Allexivirus epsilonrubi	ICTV20125753
U89243_garlic_virus_X	U89243	garlic virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus ecsallii	ICTV19982602
KM379144_garlic_virus_B	KM379144	garlic virus B	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus betallii	ICTV19982599
AB010302_garlic_virus_C	AB010302	garlic virus C	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus chiallii	ICTV19982600
M97264_shallot_virus_X	M97264	shallot virus X	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus ecsascalonicum	ICTV19982603
AB010300_garlic_virus_A	AB010300	garlic virus A	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus alphallii	ICTV19982598
AJ292230_garlic_virus_E	AJ292230	garlic virus E	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus epsalii	ICTV20073578
KF555653_garlic_virus_D	KF555653	garlic virus D	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Allexivirus deltallii	ICTV19982601
