tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MG599866_WÄnlÇng_frogfish_arenavirus_2	MG599866	WÄnlÇng frogfish arenavirus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Antennavirus		Antennavirus hirsutum	ICTV201856321
MK611982_salmon_pescarenavirus_1	MK611982	salmon pescarenavirus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Antennavirus		Antennavirus salmonis	ICTV202009577
MG599863_WÄnlÇng_frogfish_arenavirus_1	MG599863	WÄnlÇng frogfish arenavirus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Antennavirus		Antennavirus striale	ICTV201856320
AB972429_Solwezi_virus	AB972429	Solwezi virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus solweziense	ICTV20165232
MK935152_Kitale_virus	MK935152	Kitale virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus kitaleense	ICTV202009550
DQ328878_Ippy_virus	DQ328878	Ippy virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus ippyense	ICTV19910406
KP867641_Mariental_virus	KP867641	Mariental virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus marientalense	ICTV20151912
MT078839_Dhati_Welel_virus	MT078839	Dhati Welel virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus dhati-welelense	ICTV202214201
KJ855307_Gairo_virus	KJ855307	Gairo virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus gairoense	ICTV20151911
MZ065540_Kwanza_virus	MZ065540	Kwanza virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Arenaviridae		Mammarenavirus		Mammarenavirus kwanzaense	ICTV202113339
