tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MG489864_Lepeophtheirus_salmonis_negative_stranded_RNA_virus_1	MG489864	Lepeophtheirus salmonis negative stranded RNA virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Hexartovirus		Hexartovirus lepeophtheiri	ICTV201907514
KX884410_Beihei_barnacle_virus_8	KX884410	Beihei barnacle virus 8	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Hexartovirus		Hexartovirus cirripedis	ICTV20186269
KX884420_Hubei_rhabdo-like_virus_8	KX884420	Hubei rhabdo-like virus 8	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus dentati	ICTV20186270
KX884412_Beihei_rhabdo-like_virus_1	KX884412	Beihei rhabdo-like virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus beihaiense	ICTV20186272
KX884413_Beihei_rhabdo-like_virus_2	KX884413	Beihei rhabdo-like virus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus lignarii	ICTV20186273
KX884446_Hubei_rhabdo-like_virus_5	KX884446	Hubei rhabdo-like virus 5	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus juli	ICTV20186274
MN831436_Solanum_melongena_rhabdo-like_virus	MN831436	Solanum melongena rhabdo-like virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus melongenae	ICTV202112237
KX431032_Pteromalus_puparum_negative-strand_RNA_virus_1	KX431032	Pteromalus puparum negative-strand RNA virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus pteromali	ICTV20165113
KX884421_Hubei_rhabdo-like_virus_6	KX884421	Hubei rhabdo-like virus 6	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus hubeiense	ICTV20186271
FJ554526_Nyamanini_virus	FJ554526	Nyamanini virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus nyamaniniense	ICTV20130531
FJ554525_Midway_virus	FJ554525	Midway virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus midwayense	ICTV20130530
