tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Canine_morbillivirus_(NP_047207)		Canine morbillivirus (NP 047207)	AA	none		False																
Measles_morbillivirus_(AAA75501)		Measles morbillivirus (AAA75501)	AA	none		False																
Nipah_henipavirus_(AAK29089)		Nipah henipavirus (AAK29089)	AA	none		False																
Murine_respirovirus_(M19661)		Murine respirovirus (M19661)	AA	none		False																
Mumps_rubulavirus_(BAA01432)		Mumps rubulavirus (BAA01432)	AA	none		False																
Avian_avulavirus_1_(X05399)		Avian avulavirus 1 (X05399)	AA	none		False																
Avian_metapneumovirus_(ACR23033)		Avian metapneumovirus (ACR23033)	AA	none		False																
Human_orthopneumovirus_(NP_056866)		Human orthopneumovirus (NP 056866)	AA	none		False																
Marburg_Marburgvirus_(AAA46562)		Marburg Marburgvirus (AAA46562)	AA	none		False																
Zaire_ebolavirus_(AAM76038)		Zaire ebolavirus (AAM76038)	AA	none		False																
Mammalian_1_bornavirus_(NP_042024)		Mammalian 1 bornavirus (NP 042024)	AA	none		False																
Salmonid_novirhabdovirus_(AAC42155)		Salmonid novirhabdovirus (AAC42155)	AA	none		False																
Indiana_vesiculovirus_(AAA48371)		Indiana vesiculovirus (AAA48371)	AA	none		False																
New_Jersey_vesiculovirus_(AAA48440)		New Jersey vesiculovirus (AAA48440)	AA	none		False																
Bovine_fever_ephemerovirus_(AAG10420)		Bovine fever ephemerovirus (AAG10420)	AA	none		False																
Rabies_lyssavirus_(AAA47219)		Rabies lyssavirus (AAA47219)	AA	none		False																
Lettuce_big-vein_associated_varicosavirus_(BAC16226)		Lettuce big-vein associated varicosavirus (BAC16226)	AA	none		False																
Sonchus_yellow_net_nucleorhabdovirus_(AAA50385)		Sonchus yellow net nucleorhabdovirus (AAA50385)	AA	none		False																
Northern_cereal_mosaic_cytorhabdovirus_(NP_597914)		Northern cereal mosaic cytorhabdovirus (NP 597914)	AA	none		False																
Rice_yellow_stunt_nucleorhabdovirus_(NP_620502)		Rice yellow stunt nucleorhabdovirus (NP 620502)	AA	none		False																
Maize_mosaic_nucleorhabdovirus_(Q6E0W6)		Maize mosaic nucleorhabdovirus (Q6E0W6)	AA	none		False																
Citrus_psorosis_virus_(AY654892)		Citrus psorosis virus (AY654892)	AA	none		False																
Blueberry_mosaic_associated_virus_(AIF28241)		Blueberry mosaic associated virus (AIF28241)	AA	none		False																
Lettuce_ring_necrosis_virus_(AAT09109)		Lettuce ring necrosis virus (AAT09109)	AA	none		False																
Mirafiori_lettuce_big-vein_virus_(AAN60447)		Mirafiori lettuce big-vein virus (AAN60447)	AA	none		False																
Ranunculus_white_mottle_virus_(AF335429)		Ranunculus white mottle virus (AF335429)	AA	none		False																
Influenza_A_virus_(AAA43581)		Influenza A virus (AAA43581)	AA	none		False																
Influenza_B_virus_(AAA43770)		Influenza B virus (AAA43770)	AA	none		False																
Influenza_C_virus_(AAA43814)		Influenza C virus (AAA43814)	AA	none		False																
Dhori_virus_(AAA42968)		Dhori virus (AAA42968)	AA	none		False																
Thogoto_virus_(AAC25959)		Thogoto virus (AAC25959)	AA	none		False																
Infectious_salmon_anemia_virus_(CAA05486)		Infectious salmon anemia virus (CAA05486)	AA	none		False																
Rift_valley_fever_phlebovirus_(CAA39836)		Rift valley fever phlebovirus (CAA39836)	AA	none		False																
Sandfly_fever_Naples_phlebovirus_(X68414)		Sandfly fever Naples phlebovirus (X68414)	AA	none		False																
Uukuniemi_phlebovirus_(BAA01590)		Uukuniemi phlebovirus (BAA01590)	AA	none		False																
Rice_stripe_tenuivirus_(BAA06677)		Rice stripe tenuivirus (BAA06677)	AA	none		False																
Dugbe_orthonairovirus_(AAB18834)		Dugbe orthonairovirus (AAB18834)	AA	none		False																
Lymphocytic_choriomeningitis_mammarenavirus_(AAA66591)		Lymphocytic choriomeningitis mammarenavirus (AAA66591)	AA	none		False																
Tacaribe_mammarenavirus_(AAA47901)		Tacaribe mammarenavirus (AAA47901)	AA	none		False																
Bunyamwera_orthobunyavirus_(CAA32553)		Bunyamwera orthobunyavirus (CAA32553)	AA	none		False																
California_encephalitis_orthobunyavirus_(AAA62607)		California encephalitis orthobunyavirus (AAA62607)	AA	none		False																
Tomato_spotted_wilt_orthotospovirus_(BAA00955)		Tomato spotted wilt orthotospovirus (BAA00955)	AA	none		False																
Soybean_vein_necrosis_virus_(ADX01591)		Soybean vein necrosis virus (ADX01591)	AA	none		False																
Hantaan_orthohantavirus_(CAA39394)		Hantaan orthohantavirus (CAA39394)	AA	none		False																
Seoul_orthohantavirus_(CAA39847)		Seoul orthohantavirus (CAA39847)	AA	none		False																
Puumala_orthohantavirus_(CCH22849)		Puumala orthohantavirus (CCH22849)	AA	none		False																
Sin_Nombre_orthohantavirus_(AAC42204)		Sin Nombre orthohantavirus (AAC42204)	AA	none		False																
