tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AF403738_CuniNPV_Florida1997	AF403738	CuniNPV Florida1997	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Deltabaculovirus		Deltabaculovirus cunigripalpi	ICTV20020611
L22858_AcMNPV_C6	L22858	AcMNPV C6	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus aucalifornicae	ICTV19990567
MH077961_TraeNPV_wt	MH077961	TraeNPV wt	AA	none		False																
AY145471_RoMNPV_R1	AY145471	RoMNPV R1	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus raous	ICTV202214025
L33180_BmNPV_T3	L33180	BmNPV T3	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus bomori	ICTV19710138
EF125867_MaviNPV_MV-8	EF125867	MaviNPV MV-8	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus mavitratae	ICTV20125726
X467702_ThorMNPV_p1	X467702	ThorMNPV p1	AA	none		False																
OL685370_PaviNPV_Gz05	OL685370	PaviNPV Gz05	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus pavitrealis	ICTV202420214
MK558262_DijuNPV_Araguari-MG	MK558262	DijuNPV Araguari-MG	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus dijunonis	ICTV202113426
AP009046_HycuNPV_N9	AP009046	HycuNPV N9	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus hycuneae	ICTV20125724
KC961304_ChroNPV_NB1	KC961304	ChroNPV NB1	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus chorosaceanae	ICTV20020610
AF512031_CfMNPV	AF512031	CfMNPV	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus chofumiferanae	ICTV19910424
KF894742_ChmuNPV_Darmstadt	KF894742	ChmuNPV Darmstadt	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus chomurinanae	ICTV20165234
U75930_OpMNPV	U75930	OpMNPV	AA	none		True							Naldaviricetes		Lefavirales		Baculoviridae		Alphabaculovirus		Alphabaculovirus orpseudotsugatae	ICTV19910426
