tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Osvaldo		Osvaldo	AA	none		False																
Gmr1		Gmr1	AA	none		False																
rGmr1		rGmr1	AA	none		False																
Woot		Woot	AA	none		False																
Ulysses		Ulysses	AA	none		False																
Kabuki		Kabuki	AA	none		False																
CsRN1		CsRN1	AA	none		False																
Boudicca		Boudicca	AA	none		False																
Ty3-1		Ty3-1	AA	none		False																
Tse3		Tse3	AA	none		False																
G-Rhodo		G-Rhodo	AA	none		False																
Beetle1		Beetle1	AA	none		False																
Cereba		Cereba	AA	none		False																
CRM		CRM	AA	none		False																
REM1		REM1	AA	none		False																
Bagy-1		Bagy-1	AA	none		False																
Del		Del	AA	none		False																
Peabody		Peabody	AA	none		False																
Retrosat-2		Retrosat-2	AA	none		False																
Tma		Tma	AA	none		False																
Legolas		Legolas	AA	none		False																
Tntom1		Tntom1	AA	none		False																
Monkey		Monkey	AA	none		False																
Galadriel		Galadriel	AA	none		False																
Reina		Reina	AA	none		False																
Gloin		Gloin	AA	none		False																
Ifg7		Ifg7	AA	none		False																
Gimli		Gimli	AA	none		False																
Amn-ichi		Amn-ichi	AA	none		False																
marY1		marY1	AA	none		False																
Amn-san		Amn-san	AA	none		False																
Sushi-ichi		Sushi-ichi	AA	none		False																
Amn-ni		Amn-ni	AA	none		False																
T-1_Cft-1_		T-1 Cft-1	AA	none		False																
Skippy		Skippy	AA	none		False																
Cgret		Cgret	AA	none		False																
Pyret		Pyret	AA	none		False																
MGLR3		MGLR3	AA	none		False																
Dane-1		Dane-1	AA	none		False																
Maggy		Maggy	AA	none		False																
Grasshopper		Grasshopper	AA	none		False																
Real		Real	AA	none		False																
Pyggy		Pyggy	AA	none		False																
TF2		TF2	AA	none		False																
TF1		TF1	AA	none		False																
Nomad		Nomad	AA	none		False																
HMS-Beagle		HMS-Beagle	AA	none		False																
Yoyo		Yoyo	AA	none		False																
Burdock		Burdock	AA	none		False																
Springer		Springer	AA	none		False																
Gypsyvir		Gypsyvir	AA	none		False																
Gypsy		Gypsy	AA	none		False																
17.6		17.6	AA	none		False																
297		297	AA	none		False																
Tom		Tom	AA	none		False																
Tv1		Tv1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Closteroviridae		Closterovirus		Closterovirus tabaci	ICTV20165269
Idefix		Idefix	AA	none		False																
Ted		Ted	AA	none		False																
Zam		Zam	AA	none		False																
Tirant		Tirant	AA	none		False																
Tor2		Tor2	AA	none		False																
Cigr-1		Cigr-1	AA	none		False																
Circe		Circe	AA	none		False																
Pao		Pao	AA	none		False																
Tamy		Tamy	AA	none		False																
Ninja		Ninja	AA	none		False																
Cubel		Cubel	AA	none		False																
Zebel		Zebel	AA	none		False																
Kobel		Kobel	AA	none		False																
Sinbad		Sinbad	AA	none		False																
Saci6		Saci6	AA	none		False																
Purbel		Purbel	AA	none		False																
Suzu		Suzu	AA	none		False																
Gabel		Gabel	AA	none		False																
Hydra3-1		Hydra3-1	AA	none		False																
Cer7		Cer7	AA	none		False																
Mabel		Mabel	AA	none		False																
Tas		Tas	AA	none		False																
Cer13		Cer13	AA	none		False																
Cer10-1		Cer10-1	AA	none		False																
Spirobel		Spirobel	AA	none		False																
Bel		Bel	AA	none		False																
Moose		Moose	AA	none		False																
Max		Max	AA	none		False																
Nabel		Nabel	AA	none		False																
Roo		Roo	AA	none		False																
Tribel		Tribel	AA	none		False																
Hopscotch		Hopscotch	AA	none		False																
PyRE1G1		PyRE1G1	AA	none		False																
Tp1		Tp1	AA	none		False																
Yokozuna		Yokozuna	AA	none		False																
Humnum		Humnum	AA	none		False																
Copia		Copia	AA	none		False																
Koco		Koco	AA	none		False																
Fourf		Fourf	AA	none		False																
Sto-4		Sto-4	AA	none		False																
RIRE1		RIRE1	AA	none		False																
BARE-1		BARE-1	AA	none		False																
WIS-2		WIS-2	AA	none		False																
Panzee		Panzee	AA	none		False																
RTvr2		RTvr2	AA	none		False																
Tnt-1		Tnt-1	AA	none		False																
V12		V12	AA	none		False																
Batata		Batata	AA	none		False																
Tto1		Tto1	AA	none		False																
Tork4		Tork4	AA	none		False																
Ta1		Ta1	AA	none		False																
Tricopia		Tricopia	AA	none		False																
Hydra1-2		Hydra1-2	AA	none		False																
Hydra1-1		Hydra1-1	AA	none		False																
Vitico1-2		Vitico1-2	AA	none		False																
Retrofit		Retrofit	AA	none		False																
Koala		Koala	AA	none		False																
AtRE1		AtRE1	AA	none		False																
evelknievel		evelknievel	AA	none		False																
Tst1		Tst1	AA	none		False																
Melmoth		Melmoth	AA	none		False																
Tgmr		Tgmr	AA	none		False																
Mtanga		Mtanga	AA	none		False																
Mosqcopia		Mosqcopia	AA	none		False																
1731		1731	AA	none		False																
Xanthias		Xanthias	AA	none		False																
