tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
KC595273_canary_bornavirus_3	KC595273	canary bornavirus 3	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus serini	ICTV20140719
KC464471_canary_bornavirus_1	KC464471	canary bornavirus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus serini	ICTV20140719
KC464478_canary_bornavirus_2	KC464478	canary bornavirus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus serini	ICTV20140719
KJ756399_aquatic_bird_bornavirus_2	KJ756399	aquatic bird bornavirus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus avisaquaticae	ICTV20140721
KF578398_aquatic_bird_bornavirus_1	KF578398	aquatic bird bornavirus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus avisaquaticae	ICTV20140721
KF680099_estrildid_finch_bornavirus_1	KF680099	estrildid finch bornavirus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus estrildidae	ICTV20140720
KM114265_LoveridgeAPOSTROPHE_REMOVEDs_garter_snake_virus_1	KM114265	LoveridgeAPOSTROPHE REMOVEDs garter snake virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus elapsoideae	ICTV20150992
AL031664867.1_ACCESSION_NOT_ON_SPREADSHEET	AL031664867.1		AA	none		False																
AMDV01100225.1_ACCESSION_NOT_ON_SPREADSHEET	AMDV01100225.1		AA	none		False																
AAGU03015682.1_ACCESSION_NOT_ON_SPREADSHEET	AAGU03015682.1		AA	none		False																
CM000665.12_ACCESSION_NOT_ON_SPREADSHEET	CM000665.12		AA	none		False																
MF135781_southwest_carpet_python_virus	MF135781	southwest carpet python virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Carbovirus		Carbovirus tapeti	ICTV20175572
