tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
X94347_olive_latent_virus_2	X94347	olive latent virus 2	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Oleavirus		Oleavirus OLV2	ICTV19970622
AJ272328_pelargonium_zonate_spot_virus	AJ272328	pelargonium zonate spot virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Anulavirus		Anulavirus PZSV	ICTV20083454
AB724114_amazon_lily_mild_mottle_virus	AB724114	amazon lily mild mottle virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Anulavirus		Anulavirus ALMMV	ICTV20131305
MW888423_ACCESSION_NOT_ON_SPREADSHEET	MW888423		AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Anulavirus		Anulavirus GLPV	ICTV202113833
U15729_peanut_stunt_virus	U15729	peanut stunt virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Cucumovirus		Cucumovirus PSV	ICTV19760682
D00355_cucumber_mosaic_virus	D00355	cucumber mosaic virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Cucumovirus		Cucumovirus CMV	ICTV19710166
D10663_tomato_aspermy_virus	D10663	tomato aspermy virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Cucumovirus		Cucumovirus TAV	ICTV19710168
FM881900_gayfeather_mild_mottle_virus	FM881900	gayfeather mild mottle virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Cucumovirus		Cucumovirus GMMV	ICTV20115383
M64713_broad_bean_mottle_virus	M64713	broad bean mottle virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Bromovirus		Bromovirus BBMV	ICTV19710142
AB194807_cassia_yellow_blotch_virus	AB194807	cassia yellow blotch virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Bromovirus		Bromovirus CYBV	ICTV19911516
MF688614_Sambucus_virus_S	MF688614	Sambucus virus S	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Bromovirus		Bromovirus SVS	ICTV202113834
AB444584_melandrium_yellow_fleck_virus	AB444584	melandrium yellow fleck virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Bromoviridae		Bromovirus		Bromovirus MYFV	ICTV19911518
