tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Agapanthus_tungrovirus_MT501685	MT501685	Agapanthus tungrovirus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Tungrovirus		Tungrovirus agapanthi	ICTV202215102
rice_tungro_bacilliform_virus_X57924	X57924	rice tungro bacilliform virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Tungrovirus		Tungrovirus oryzae	ICTV19952319
Aglaonema_bacilliform_virus_MH384837	MH384837	Aglaonema bacilliform virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus aglaonemae	ICTV19990711
Dioscorea_bacilliform_AL_virus_2_KY827395	KY827395	Dioscorea bacilliform AL virus 2	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus betadioscoreae	ICTV201856650
Dioscorea_bacilliform_TR_virus_KX430257	KX430257	Dioscorea bacilliform TR virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus tetadioscoreae	ICTV20175765
Dioscorea_bacilliform_AL_virus_KX008573	KX008573	Dioscorea bacilliform AL virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus alphadioscoreae	ICTV19952316
Dioscorea_bacilliform_RT_virus_3_MF476845	MF476845	Dioscorea bacilliform RT virus 3	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus zetadioscoreae	ICTV202008836
Dioscorea_bacilliform_SN_virus_DQ822073	DQ822073	Dioscorea bacilliform SN virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus etadioscoreae	ICTV20115418
fig_badnavirus_1_JF411989	JF411989	fig badnavirus 1	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus fici	ICTV20141867
grapevine_roditis_leaf_discoloration-associated_virus_HG940503	HG940503	grapevine roditis leaf discoloration-associated virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus decoloratiovitis	ICTV20152259
Pandanus_mosaic_associated_virus_OK624603	OK624603	Pandanus mosaic associated virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus tessellopandani	ICTV202318294
sweet_potato_pakakuy_virus_FJ560943	FJ560943	sweet potato pakakuy virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus occultipomeae	ICTV20115444
Fatsia_badnavirus_1_OM540428	OM540428	Fatsia badnavirus 1	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus fatsiae	ICTV202420219
ivy_ringspot-associated_virus_MN850490	MN850490	ivy ringspot-associated virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus maculahederae	ICTV202008841
Polyscias_mosaic_virus_MH475918	MH475918	Polyscias mosaic virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus tessellopolysciatis	ICTV202008842
Piper_yellow_mottle_virus_KC808712	KC808712	Piper yellow mottle virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus maculapiperis	ICTV19952318
cacao_swollen_shoot_CD_virus_JN606110	JN606110	cacao swollen shoot CD virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus alphainflatheobromae	ICTV20152263
cacao_swollen_shoot_Togo_A_virus_AJ781003	AJ781003	cacao swollen shoot Togo A virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus zetainflatheobromae	ICTV20152262
cacao_swollen_shoot_Togo_B_virus_L14546	L14546	cacao swollen shoot Togo B virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus etainflatheobromae	ICTV19952313
cacao_swollen_shoot_CE_virus_MF642720	MF642720	cacao swollen shoot CE virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus betainflatheobromae	ICTV201856643
cacao_swollen_shoot_Ghana_M_virus_MF642724	MF642724	cacao swollen shoot Ghana M virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus gammainflatheobromae	ICTV201856644
cacao_swollen_shoot_Ghana_N_virus_MF642725	MF642725	cacao swollen shoot Ghana N virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus deltainflatheobromae	ICTV201856645
cacao_mild_mosaic_virus_KX276640	KX276640	cacao mild mosaic virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus tessellotheobromae	ICTV20175761
chinaberry_tree_badnavirus_1_OL630968	OL630968	chinaberry tree badnavirus 1	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus meliae	ICTV202215099
taro_bacilliform_virus_AF357836	AF357836	taro bacilliform virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus alphacolocalasiae	ICTV20073401
banana_streak_UI_virus_HQ593108	HQ593108	banana streak UI virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus zetavirgamusae	ICTV20141864
banana_streak_UL_virus_HQ593109	HQ593109	banana streak UL virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus etavirgamusae	ICTV20141865
banana_streak_UM_virus_HQ593110	HQ593110	banana streak UM virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus thetavirgamusae	ICTV20141866
sugarcane_bacilliform_IM_virus_AJ277091	AJ277091	sugarcane bacilliform IM virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus gammasacchari	ICTV20073399
sugarcane_bacilliform_MO_virus_M89923	M89923	sugarcane bacilliform MO virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Ortervirales		Caulimoviridae		Badnavirus		Badnavirus deltasacchari	ICTV20073400
