tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Myduc		Myduc	AA	none		False																
vB_EcoM-4HA13		vB EcoM-4HA13	AA	none		False																
Faunus		Faunus	AA	none		False																
Bp7		Bp7	AA	none		False																
ST32		ST32	AA	none		False																
Bp10		Bp10	AA	none		False																
flopper		flopper	AA	none		False																
phiEcoM-GJ1		phiEcoM-GJ1	AA	none		False																
Mangalitsa		Mangalitsa	AA	none		False																
PP101		PP101	AA	none		False																
PM1		PM1	AA	none		False																
vB_EamM-Y2		vB EamM-Y2	AA	none		False																
SSEM1		SSEM1	AA	none		False																
pEa_SNUABM_27		pEa SNUABM 27	AA	none		False																
Spp001		Spp001	AA	none		False																
SppYZU05		SppYZU05	AA	none		False																
PVN03		PVN03	AA	none		False																
Aeromonas_phage_PVN05		Aeromonas phage PVN05	AA	none		False																
PVN02		PVN02	AA	none		False																
PVN04		PVN04	AA	none		False																
pAh6.2TG		pAh6.2TG	AA	none		False																
pAh6-C		pAh6-C	AA	none		False																
