tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Penicillium_chrysogenum_virus_(4)		Penicillium chrysogenum virus (4)	AA	none		False																
Penicillium_italicum_chrysovirus_(4)		Penicillium italicum chrysovirus (4)	AA	none		False																
Penicillium_raistrickii_chrysovirus_1_(4)		Penicillium raistrickii chrysovirus 1 (4)	AA	none		False																
Penicillium_roseopurpureum_chrysovirus_1_(4)		Penicillium roseopurpureum chrysovirus 1 (4)	AA	none		False																
Aspergillus_fumigatus_chrysovirus_(4)		Aspergillus fumigatus chrysovirus (4)	AA	none		False																
Grapevine_associated_chrysovirus_1		Grapevine associated chrysovirus 1	AA	none		False																
Isaria_javanica_chrysovirus_1_(4)		Isaria javanica chrysovirus 1 (4)	AA	none		False																
Beauveria_bassiana_chrysovirus_1_(4)		Beauveria bassiana chrysovirus 1 (4)	AA	none		False																
Chrysothrix_chrysovirus_1_(4)		Chrysothrix chrysovirus 1 (4)	AA	none		False																
Macrophomina_phaseolina_chrysovirus_1_(4)		Macrophomina phaseolina chrysovirus 1 (4)	AA	none		False																
Cryphonectria_nitschkei_chrysovirus_1_(4)		Cryphonectria nitschkei chrysovirus 1 (4)	AA	none		False																
Verticillium_dahliae_chrysovirus_1_(4)		Verticillium dahliae chrysovirus 1 (4)	AA	none		False																
Fusarium_oxysporum_chrysovirus_1_(4)		Fusarium oxysporum chrysovirus 1 (4)	AA	none		False																
Colletotrichum_gloeosporioides_chrysovirus_1_(3)		Colletotrichum gloeosporioides chrysovirus 1 (3)	AA	none		False																
Amasya_cherry_disease_associated_chrysovirus_(4)		Amasya cherry disease associated chrysovirus (4)	AA	none		False																
Cherry_chlorotic_rusty_spot_associated_chrysovirus_(4)		Cherry chlorotic rusty spot associated chrysovirus (4)	AA	none		False																
Helminthosporium_victoriae_virus_145S_(4)		Helminthosporium victoriae virus 145S (4)	AA	none		False																
Bipolaris_maydis_chrysovirus_1_(4)		Bipolaris maydis chrysovirus 1 (4)	AA	none		False																
Brassica_campestris_chrysovirus_1_(3)		Brassica campestris chrysovirus 1 (3)	AA	none		False																
Raphanus_sativus_chrysovirus_1_(3)		Raphanus sativus chrysovirus 1 (3)	AA	none		False																
Zea_mays_chrysovirus_1_(3)		Zea mays chrysovirus 1 (3)	AA	none		False																
Anthurium_mosaic-associated_virus_(3)		Anthurium mosaic-associated virus (3)	AA	none		False																
Persea_americana_chrysovirus_(3)		Persea americana chrysovirus (3)	AA	none		False																
Salado_virus_(4)		Salado virus (4)	AA	none		False																
Shuangao_chryso-like_virus_(4)		Shuangao chryso-like virus (4)	AA	none		False																
Hubei_chryso-like_virus_1_(4)		Hubei chryso-like virus 1 (4)	AA	none		False																
Agaricus_bisporus_virus_1		Agaricus bisporus virus 1	AA	none		False																
Fusarium_graminearum_dsRNA_mycovirus-2_(5)		Fusarium graminearum dsRNA mycovirus-2 (5)	AA	none		False																
Fusarium_graminearum_mycovirus_China_9_(5)		Fusarium graminearum mycovirus China 9 (5)	AA	none		False																
Fusarium_oxysporum_f._sp._Dianthi_virus_(4)		Fusarium oxysporum f. sp. Dianthi virus (4)	AA	none		False																
Fusarium_sacchari_chrysovirus_1_(4)		Fusarium sacchari chrysovirus 1 (4)	AA	none		False																
Magnaporthe_oryzae_chrysovirus_1-A_(5)		Magnaporthe oryzae chrysovirus 1-A (5)	AA	none		False																
Magnaporthe_oryzae_chrysovirus_1-B_(5)		Magnaporthe oryzae chrysovirus 1-B (5)	AA	none		False																
Neofusicoccum_parvum_chrysovirus_1_(4)		Neofusicoccum parvum chrysovirus 1 (4)	AA	none		False																
Tolypocladium_cylindrosporum_virus_2		Tolypocladium cylindrosporum virus 2	AA	none		False																
Wuhan_insect_virus_29		Wuhan insect virus 29	AA	none		False																
Penicillium_janczewskii_chrysovirus_1_(4)		Penicillium janczewskii chrysovirus 1 (4)	AA	none		False																
Aspergillus_mycovirus_1816		Aspergillus mycovirus 1816	AA	none		False																
Coniothyrium_diplodiella_chrysovirus_1_(4)		Coniothyrium diplodiella chrysovirus 1 (4)	AA	none		False																
Colletotrichum_fructicola_chrysovirus_1_(7)		Colletotrichum fructicola chrysovirus 1 (7)	AA	none		False																
Botryosphaeria_dothidea_chrysovirus_1_(4)		Botryosphaeria dothidea chrysovirus 1 (4)	AA	none		False																
Alternaria_alternata_chrysovirus_1_(5)		Alternaria alternata chrysovirus 1 (5)	AA	none		False																
Penicillium_janczewskii_chrysovirus_2_(4)		Penicillium janczewskii chrysovirus 2 (4)	AA	none		False																
Aspergillus_thermomutatus_chrysovirus_1_(4)		Aspergillus thermomutatus chrysovirus 1 (4)	AA	none		False																
Saccharomyces_cerevisiae_virus_L-A		Saccharomyces cerevisiae virus L-A	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus ichi	ICTV19821337
