tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
GQ404854_HuACyV-6	GQ404854	HuACyV-6	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus mmadu	ICTV20152358
KJ641720_BatACyV-9	KJ641720	BatACyV-9	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus khangkhaw	ICTV20165263
KJ641715_BatACyV-8	KJ641715	BatACyV-8	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus nahkhiir	ICTV20165262
KM382270_BatACyV-10	KM382270	BatACyV-10	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus bastao	ICTV20165253
KC512920_DfACyV-8	KC512920	DfACyV-8	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus tarako	ICTV20152346
JX569794_CroACyV-1	JX569794	CroACyV-1	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus roach	ICTV20152347
KM382269_BatACyV-12	KM382269	BatACyV-12	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus doi	ICTV20165255
KJ641712_BatACyV-6	KJ641712	BatACyV-6	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus popo	ICTV20165260
GQ404845_HuACyV-5	GQ404845	HuACyV-5	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus homa	ICTV20152357
JF938081_BatACyV-3	JF938081	BatACyV-3	nt	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus kiroptero	ICTV20152335
