tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
KM349742_betacoronavirus_HKU24	KM349742	betacoronavirus HKU24	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Embecovirus	Betacoronavirus ratti	ICTV20186124
KY370046_Myodes_rufocanus_vole_coronavirus_2/JL2014	KY370046	Myodes rufocanus vole coronavirus 2/JL2014	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Embecovirus	Betacoronavirus myodae	ICTV201907496
AY585228_human_coronavirus_OC43	AY585228	human coronavirus OC43	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Embecovirus	Betacoronavirus gravedinis	ICTV20093523
AY597011_human_coronavirus_HKU1	AY597011	human coronavirus HKU1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Embecovirus	Betacoronavirus hongkongense	ICTV20083206
AY700211_murine_hepatitis_virus	AY700211	murine hepatitis virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Embecovirus	Betacoronavirus muris	ICTV20093525
MG693168_Eidolon_helvum_bat_coronavirus_CMR704-P12	MG693168	Eidolon helvum bat coronavirus CMR704-P12	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Nobecovirus	Betacoronavirus eidoli	ICTV201907495
KU762338_Rousettus_bat_coronavirus	KU762338	Rousettus bat coronavirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Nobecovirus	Betacoronavirus cororeum	ICTV20186128
EF065513_Rousettus_bat_coronavirus_HKU9	EF065513	Rousettus bat coronavirus HKU9	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Nobecovirus	Betacoronavirus rousetti	ICTV20095331
KF636752_bat_Hp-betacoronavirus/Zhejiang2013	KF636752	bat Hp-betacoronavirus/Zhejiang2013	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Hibecovirus	Betacoronavirus hipposideri	ICTV20186131
AY274119_severe_acute_respiratory_syndrome_coronavirus	AY274119	severe acute respiratory syndrome coronavirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Betacoronavirus	Sarbecovirus	Betacoronavirus pandemicum	ICTV20040588
