tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
KF562072_Lagenaria_siceraria_endornavirus	KF562072	Lagenaria siceraria endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus lagenariae	ICTV20165278
KT727022_Cucumis_melo_endornavirus	KT727022	Cucumis melo endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus cucumis	ICTV20165273
KJ634409_yerba_mate_endornavirus	KJ634409	yerba mate endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus yerbae	ICTV20152436
KT456287_Phaseolus_vulgaris_endornavirus_1	KT456287	Phaseolus vulgaris endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus phaseoli	ICTV20042206
AB014344_Oryza_rufipogon_endornavirus	AB014344	Oryza rufipogon endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus rupifigonis	ICTV20042204
D32136_Oryza_sativa_endornavirus	D32136	Oryza sativa endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus oryzae	ICTV20042205
JN880414_Persea_americana_endornavirus_1	JN880414	Persea americana endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus perseae	ICTV20152435
AB844264_Basella_alba_endornavirus_1	AB844264	Basella alba endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus basellae	ICTV20152434
AJ877914_Phytophthora_endornavirus_1	AJ877914	Phytophthora endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus phytophthorae	ICTV20093556
MG764084_cluster_bean_endornavirus	MG764084	cluster bean endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus cyamopsis	ICTV201907539
KT721705_Hordeum_vulgare_endornavirus	KT721705	Hordeum vulgare endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus hordei	ICTV20165276
LC144945_winged_bean_endornavirus_1	LC144945	winged bean endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus psophocarpi	ICTV20175778
KT456288_Phaseolus_vulgaris_endornavirus_2	KT456288	Phaseolus vulgaris endornavirus 2	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus fuphaseoli	ICTV20131611
KR080326_hot_pepper_endornavirus	KR080326	hot pepper endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus fucapsici	ICTV20165277
KX977569_bell_pepper_endornavirus	KX977569	bell pepper endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus capsici	ICTV20125751
KY357509_Agaricus_bisporus_endornavirus_1	KY357509	Agaricus bisporus endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus agarici	ICTV201907538
MF362666_Helianthus_annuus_endornavirus	MF362666	Helianthus annuus endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus helianthi	ICTV201907540
AB218287_Helicobasidium_mompa_endornavirus_1	AB218287	Helicobasidium mompa endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus helicobasidii	ICTV20093552
KF311065_Rhizoctonia_cerealis_endornavirus_1	KF311065	Rhizoctonia cerealis endornavirus 1	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus rhizocerealis	ICTV20165279
AJ000929_Vicia_faba_endornavirus	AJ000929	Vicia faba endornavirus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Endornaviridae		Alphaendornavirus		Alphaendornavirus viciae	ICTV20042207
