tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MK602171_Actinidia_virus_2	MK602171	Actinidia virus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus kiwii	ICTV202009331
OU466880_ash_shoestring-associated_virus	OU466880	ash shoestring-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus fraxini	ICTV202215122
AM941711_fig_mosaic_virus	AM941711	fig mosaic virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus fici	ICTV20115424
ON181430_Pueraria_lobata-associated_emaravirus*	ON181430	Pueraria lobata-associated emaravirus*	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus kudzu	ICTV202317934
HF912243_pigeonpea_sterility_mosaic_virus_2	HF912243	pigeonpea sterility mosaic virus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus toordali	ICTV20164771
LR742461_aspen_mosaic-associated_virus	LR742461	aspen mosaic-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus populi	ICTV202009371
MH727572_Pistacia_virus_B	MH727572	Pistacia virus B	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus pistaciae	ICTV201907368
MT879190_maple_mottle-associated_virus	MT879190	maple mottle-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus aceris	ICTV202113864
HQ871942_rose_rosette_virus	HQ871942	rose rosette virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus rosae	ICTV20125745
KY056657_blackberry_leaf_mottle-associated_virus	KY056657	blackberry leaf mottle-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus rubi	ICTV201907357
HF568801_pigeonpea_sterility_mosaic_virus_1	HF568801	pigeonpea sterility mosaic virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus cajani	ICTV20143850
LC604727_Vitis_emaravirus	LC604727	Vitis emaravirus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus vitis	ICTV202215123
AY563040_European_mountain_ash_ringspot-associated_virus	AY563040	European mountain ash ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus sorbi	ICTV20095208
KT861481_Actinidia_chlorotic_ringspot-associated_virus	KT861481	Actinidia chlorotic ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus actinidiae	ICTV20164770
MT112174_lilac_chlorotic_ringspot-associated_virus	MT112174	lilac chlorotic ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus syringae	ICTV202009383
JF795479_redbud_yellow_ringspot-associated_virus	JF795479	redbud yellow ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus cercidis	ICTV20164772
MF766025_palo_verde_broom_virus	MF766025	palo verde broom virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus parkinsoniae	ICTV202009489
OP562931_Callicarpa_mosaic-associated_virus_1*	OP562931	Callicarpa mosaic-associated virus 1*	AA	none		False																
KJ939623_High_Plains_wheat_mosaic_virus	KJ939623	High Plains wheat mosaic virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus tritici	ICTV20154501
OM687517_ailanthus_crinkle_leaf-associated_virus*	OM687517	ailanthus crinkle leaf-associated virus*	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus ailanthi	ICTV202318030
LR828198_common_oak_ringspot-associated_virus	LR828198	common oak ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus quercus	ICTV202113866
MH223635_ti_ringspot-associated_virus	MH223635	ti ringspot-associated virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus cordylinae	ICTV202009551
BK059263_Arceuthobium_sichuanense-associated_virus_1	BK059263	Arceuthobium sichuanense-associated virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus visci	ICTV202215121
FR823299_raspberry_leaf_blotch_virus	FR823299	raspberry leaf blotch virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Fimoviridae		Emaravirus		Emaravirus idaeobati	ICTV20133464
