tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
M18370_Japanese_encephalitis_virus	M18370	Japanese encephalitis virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus japonicum	ICTV19710103
AF161266_Murray_Valley_encephalitis_virus	AF161266	Murray Valley encephalitis virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus murrayense	ICTV19990839
AF013384_Koutango_virus	AF013384	Koutango virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus koutangoense	ICTV19760611
M12294_West_Nile_virus	M12294	West Nile virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus nilense	ICTV19990858
AY453411_Usutu_virus	AY453411	Usutu virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus usutuense	ICTV19710122
AF013413_Yaounde_virus	AF013413	Yaounde virus	nt	none		False																
KF917536_Cacipacore_virus	KF917536	Cacipacore virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus cacipacoreense	ICTV19990816
AY632539_Ilheus_virus	AY632539	Ilheus virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus ilheusense	ICTV19990824
AY632544_Saint_Louis_encephalitis_virus	AY632544	Saint Louis encephalitis virus	nt	none		False																
JF895923_Tembusu_virus	JF895923	Tembusu virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus tembusu	ICTV19760634
JX236040_Ntaya_virus	JX236040	Ntaya virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus ntayaense	ICTV19710113
AY632545_Bagaza_virus	AY632545	Bagaza virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus bagazaense	ICTV19790887
AF013377_Israel_turkey_meningoencephalitis_virus	AF013377	Israel turkey meningoencephalitis virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus israelense	ICTV19710102
AY632536_Bussuquara_virus	AY632536	Bussuquara virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus aroaense	ICTV19990811
AY632535_Zika_virus	AY632535	Zika virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Flasuviricetes		Amarillovirales		Flaviviridae		Orthoflavivirus	Euflavivirus	Orthoflavivirus zikaense	ICTV19990862
DQ859064_Spondweni_virus	DQ859064	Spondweni virus	nt	none		False																
M19197_Dengue_virus	M19197	Dengue virus	nt	none		False																
