tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MN617762_Botrytis_cinerea_fusarivirus_3_XXX_Betafusarivirus_hispaniae	MN617762	Botrytis cinerea fusarivirus 3 XXX Betafusarivirus hispaniae	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus hispaniae	ICTV202113738
MN617763_Botrytis_cinerea_fusarivirus_4_XXX_Betafusarivirus_iberiae	MN617763	Botrytis cinerea fusarivirus 4 XXX Betafusarivirus iberiae	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus iberiae	ICTV202113739
MG554633_Botrytis_cinerea_fusarivirus_1_XXX_Betafusarivirus_sinensis	MG554633	Botrytis cinerea fusarivirus 1 XXX Betafusarivirus sinensis	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus sinensis	ICTV202113737
MK558257_Rhizoctonia_solani_fusarivirus_1_XXX_Betafusarivirus_rhizoctoniae	MK558257	Rhizoctonia solani fusarivirus 1 XXX Betafusarivirus rhizoctoniae	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus rhizoctoniae	ICTV202113743
MK558256_Rhizoctonia_solani_fusarivirus_2_XXX_Betafusarivirus_brasiliensis	MK558256	Rhizoctonia solani fusarivirus 2 XXX Betafusarivirus brasiliensis	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus brasiliensis	ICTV202113744
MN617766_Botrytis_cinerea_fusarivirus_7_XXX_Betafusarivirus_botrytidis	MN617766	Botrytis cinerea fusarivirus 7 XXX Betafusarivirus botrytidis	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus botrytidis	ICTV202113740
KP842791_Sclerotinia_sclerotiorum_fusarivirus_1_XXX_Betafusarivirus_sclerotiniae	KP842791	Sclerotinia sclerotiorum fusarivirus 1 XXX Betafusarivirus sclerotiniae	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus sclerotiniae	ICTV202113746
MK279505_Sclerotinia_homoeocarpa_fusarivirus_1_XXX_Betafusarivirus_homeocarpa	MK279505	Sclerotinia homoeocarpa fusarivirus 1 XXX Betafusarivirus homeocarpa	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus homeocarpa	ICTV202113745
LC530175_Neurospora_crassa_fusarivirus_1_XXX_Betafusarivirus_crassae	LC530175	Neurospora crassa fusarivirus 1 XXX Betafusarivirus crassae	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Fusariviridae		Betafusarivirus		Betafusarivirus crassae	ICTV202113741
1		1	AA	none		False																
