tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Mobatvirus_robinaense___NC_055633-34		Mobatvirus robinaense NC 055633-34	AA	none		False																
Mobatvirus_dakrongense___MG663534-35		Mobatvirus dakrongense MG663534-35	AA	none		False																
Mobatvirus_laibinense___KY662264-65		Mobatvirus laibinense KY662264-65	AA	none		False																
Mobatvirus_xuansonense___OQ466086_OQ466078	OQ466086	Mobatvirus xuansonense OQ466078	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Mobatvirus		Mobatvirus xuansonense	ICTV202009701
Mobatvirus_novaense___KY780086_87	KY780086	Mobatvirus novaense 87	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Mobatvirus		Mobatvirus novaense	ICTV20164792
Orthohantavirus_artybashense___MG888402_MG913806	MG888402	Orthohantavirus artybashense MG913806	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus artybashense	ICTV202319088
Orthohantavirus_asikkalaense___NC_043069_70	NC_043069	Orthohantavirus asikkalaense 70	AA	none		False																
Orthohantavirus_kenkemeense___NC_034559_NC_034565	NC_034559	Orthohantavirus kenkemeense NC 034565	AA	none		False																
Orthohantavirus_asamaense___EU929072_EU929075	EU929072	Orthohantavirus asamaense EU929075	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus asamaense	ICTV20164774
Orthohantavirus_wufangense___OM030312-13		Orthohantavirus wufangense OM030312-13	AA	none		False																
Orthohantavirus_caobangense___EF543524_EF543526	EF543524	Orthohantavirus caobangense EF543526	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus caobangense	ICTV20164778
Orthohantavirus_boweense___NC_034405-06		Orthohantavirus boweense NC 034405-06	AA	none		False																
Orthohantavirus_jejuense___MN295683_MN295685	MN295683	Orthohantavirus jejuense MN295685	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus jejuense	ICTV20164784
Orthohantavirus_tigrayense___KU934009_10	KU934009	Orthohantavirus tigrayense 10	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus tigrayense	ICTV201856435
Orthohantavirus_brugesense___NC_034394_95	NC_034394	Orthohantavirus brugesense 95	AA	none		False																
Orthohantavirus_lankaense___LC553716-17		Orthohantavirus lankaense LC553716-17	AA	none		False																
Orthohantavirus_thailandense___MZ343360-61		Orthohantavirus thailandense MZ343360-61	AA	none		False																
Orthohantavirus_seoulense___OP946509-10		Orthohantavirus seoulense OP946509-10	AA	none		False																
Orthohantavirus_dobravaense___GU904028_GU904034	GU904028	Orthohantavirus dobravaense GU904034	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus dobravaense	ICTV19950720
Orthohantavirus_sangassouense___NC_034526_NC_034516_NC_034517	NC_034526	Orthohantavirus sangassouense NC 034516 NC 034517	AA	none		False																
Orthohantavirus_hantanense___OR700530_OR700537	OR700530	Orthohantavirus hantanense OR700537	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus hantanense	ICTV19870409
Orthohantavirus_dabieshanense___OM030306-07		Orthohantavirus dabieshanense OM030306-07	AA	none		False																
Orthohantavirus_puumalaense___MN832783-4		Orthohantavirus puumalaense MN832783-4	AA	none		False																
