tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AJ131569_hepatitis_B_virus_gibI	AJ131569	hepatitis B virus gibI	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AJ131571_hepatitis_B_virus_gibII	AJ131571	hepatitis B virus gibII	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AF193864_orangutan_hepatitis_B_virus	AF193864	orangutan hepatitis B virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AJ131572_hepatitis_B_virus_gibIII	AJ131572	hepatitis B virus gibIII	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AJ131573_hepatitis_B_virus_gibIV	AJ131573	hepatitis B virus gibIV	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AJ131574_hepatitis_B_virus_gibV	AJ131574	hepatitis B virus gibV	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
D00220_chimpanzee_hepatitis_B_virus	D00220	chimpanzee hepatitis B virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AJ131567_gorilla_hepatitis_B_virus	AJ131567	gorilla hepatitis B virus	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
X75657_hepatitis_B_virus_type_E	X75657	hepatitis B virus type E	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
JN257186_hepatitis_B_virus_type_D	JN257186	hepatitis B virus type D	nt	none		False																
AB033555_hepatitis_B_virus_type_B	AB033555	hepatitis B virus type B	nt	none		False																
AY123041_hepatitis_B_virus_type_C	AY123041	hepatitis B virus type C	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
AF241409_hepatitis_B_virus_type_I	AF241409	hepatitis B virus type I	nt	none		False																
X02763_hepatitis_B_virus_type_A	X02763	hepatitis B virus type A	nt	none		True	Riboviria		Pararnavirae		Artverviricota		Revtraviricetes		Blubervirales		Hepadnaviridae		Orthohepadnavirus		Orthohepadnavirus hominoidei	ICTV19910781
