tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
M73218_hepatitis_E_virus_1a	M73218	hepatitis E virus 1a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
KX578717_hepatitis_E_virus_2a	KX578717	hepatitis E virus 2a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
AB602441_hepatitis_E_virus_6a	AB602441	hepatitis E virus 6a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
AB573435_hepatitis_E_virus_5a	AB573435	hepatitis E virus 5a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
AB197673_hepatitis_E_virus_4a	AB197673	hepatitis E virus 4a	AA	none		False																
KJ496143_hepatitis_E_virus_7a	KJ496143	hepatitis E virus 7a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
AF082843_hepatitis_E_virus_3a	AF082843	hepatitis E virus 3a	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus balayani	ICTV19950816
KX387866_hepatitis_E_virus_8a	KX387866	hepatitis E virus 8a	AA	none		False																
KF951328_moose_hepatitis_E_virus	KF951328	moose hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Paslahepevirus		Paslahepevirus alci	ICTV202113885
KR905549_tree_shrew_hepatitis_E_virus	KR905549	tree shrew hepatitis E virus	AA	none		False																
KM516906_rat_hepatitis_E_virus	KM516906	rat hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
JN167538_rat_hepatitis_E_virus	JN167538	rat hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
AB847307_rat_hepatitis_E_virus	AB847307	rat hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
JX120573_rat_hepatitis_E_virus	JX120573	rat hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
LC549186_rat_hepatitis_E_virus	LC549186	rat hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
LC057247_ferret_hepatitis_E_virus	LC057247	ferret hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
AB890374_ferret_hepatitis_E_virus	AB890374	ferret hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus ratti	ICTV20142437
KY432900_striped_field_mouse_hepatitis_E_virus	KY432900	striped field mouse hepatitis E virus	AA	none		False																
KY432903_grey_dwarf_hamster_hepatitis_E_viru	KY432903	grey dwarf hamster hepatitis E viru	AA	none		False																
MG021328_hairytailed_bolo_mouse_hepatitis_E_virus	MG021328	hairytailed bolo mouse hepatitis E virus	AA	none		False																
KY432901_vole_hepatitis_E_virus	KY432901	vole hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus eothenomi	ICTV202113889
KY432904_vole_hepatitis_E_virus	KY432904	vole hepatitis E virus	AA	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Hepelivirales		Hepeviridae	Orthohepevirinae	Rocahepevirus		Rocahepevirus eothenomi	ICTV202113889
