tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
KF766114_Staphylococcus_phage_K	KF766114	Staphylococcus phage K	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae	Twortvirinae	Kayvirus		Kayvirus kay	ICTV20115491
AY682195_Lactobacillus_phage_LP65	AY682195	Lactobacillus phage LP65	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Salchichonvirus		Salchichonvirus LP65	ICTV20115497
MG765277_Lactobacillus_phage_Bacchae	MG765277	Lactobacillus phage Bacchae	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Harbinvirus		Harbinvirus bacchae	ICTV201907402
MG765279_Lactobacillus_phage_Semele	MG765279	Lactobacillus phage Semele	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Harbinvirus		Harbinvirus semele	ICTV201907404
MH809529_Lactobacillus_phage_Iacchus	MH809529	Lactobacillus phage Iacchus	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Harbinvirus		Harbinvirus iacchus	ICTV201907403
MH809531_Lactobacillus_phage_Bromius	MH809531	Lactobacillus phage Bromius	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Harbinvirus		Harbinvirus bromius	ICTV201907401
MG557979_Lactobacillus_phage_Lpa804	MG557979	Lactobacillus phage Lpa804	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Harbinvirus		Harbinvirus Lpa804	ICTV201907400
MF787246_Lactobacillus_phage_LpeD	MF787246	Lactobacillus phage LpeD	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Elpedvirus		Elpedvirus LpeD	ICTV202010119
MK504444_Lactobacillus_phage_3-521	MK504444	Lactobacillus phage 3-521	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Watanabevirus		Watanabevirus wv3521	ICTV202010122
KP054477_Lactobacillus_phage_LfeInf	KP054477	Lactobacillus phage LfeInf	AA	none		True	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Herelleviridae		Hopescreekvirus		Hopescreekvirus LfeInf	ICTV202010127
