tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MH766503_Sclerotium_rolfsii_hypovirus_8	MH766503	Sclerotium rolfsii hypovirus 8	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Etahypovirus		Etahypovirus sclerotii	ICTV202112517
MK279473_Sclerotinia_homoeocarpa_hypovirus_1	MK279473	Sclerotinia homoeocarpa hypovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus sclerotiniae	ICTV202112510
MF375885_Entoleuca_hypovirus_1	MF375885	Entoleuca hypovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus entoleucae	ICTV202112509
LC333733_Rosellinia_necatrix_hypovirus_2	LC333733	Rosellinia necatrix hypovirus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus entoleucae	ICTV202112509
KY357507_Agaricus_bisporus_virus_2	KY357507	Agaricus bisporus virus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus agarici	ICTV202112508
LC318482_Rosellinia_necatrix_hypovirus_1	LC318482	Rosellinia necatrix hypovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus roselliniae	ICTV202112513
KY120321_Fusarium_langsethiae_hypovirus_1	KY120321	Fusarium langsethiae hypovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus sinicum	ICTV202112512
KP208178_Fusarium_graminearum_hypovirus_2	KP208178	Fusarium graminearum hypovirus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus japonicum	ICTV202112511
LC150612_Fusarium_poae_hypovirus_1	LC150612	Fusarium poae hypovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Epsilonhypovirus		Epsilonhypovirus japonicum	ICTV202112511
MN617171_Botrytis_cinerea_hypovirus_4	MN617171	Botrytis cinerea hypovirus 4	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Hypofuvirales		Hypoviridae		Thetahypovirus		Thetahypovirus botrytidis	ICTV202112522
