tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
ANO58022.1_Xanthomonas_phage_Xf109	ANO58022.1	Xanthomonas phage Xf109	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Xylivirus		Xylivirus Xf109	ICTV201856876
ARK07723.1_Xanthomonas_phage_Xf409	ARK07723.1	Xanthomonas phage Xf409	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Xylivirus		Xylivirus Xf109	ICTV201856876
CDF76789.1_Stenotrophomonas_phage_SMA6	CDF76789.1	Stenotrophomonas phage SMA6	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Scuticavirus		Scuticavirus SMA6	ICTV20165397
YP_001718372.1_Stenotrophomonas_phage_PSH1	YP_001718372.1	Stenotrophomonas phage PSH1	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Psecadovirus		Psecadovirus PSH1	ICTV20165396
BAP16713.1_Xanthomonas_virus_XacF1	BAP16713.1	Xanthomonas virus XacF1	AA	none		False																
NP_040477.1_Xanthomonas_virus_Cf1c	NP_040477.1	Xanthomonas virus Cf1c	AA	none		False																
AFC62051.1_Ralstonia_phage_RSS0	AFC62051.1	Ralstonia phage RSS0	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Restivirus		Restivirus RSS1	ICTV20165394
YP_863929.1_Ralstonia_phage_RSS1	YP_863929.1	Ralstonia phage RSS1	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Restivirus		Restivirus RSS1	ICTV20165394
YP_004327586.1_Ralstonia_virus_PE226	YP_004327586.1	Ralstonia virus PE226	AA	none		False																
AAA88391.1_Pseudomonas_phage_Pf3	AAA88391.1	Pseudomonas phage Pf3	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Tertilicivirus		Tertilicivirus Pf3	ICTV19910818
NP_040656.1_Pseudomonas_virus_Pf3	NP_040656.1	Pseudomonas virus Pf3	AA	none		False																
YP_008130373.1_Stenotrophomonas_phage_SMA7	YP_008130373.1	Stenotrophomonas phage SMA7	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Subteminivirus		Subteminivirus SMA7	ICTV20165398
YP_257149.1_Stenotrophomonas_phage_SMA9	YP_257149.1	Stenotrophomonas phage SMA9	AA	none		True	Efunaviria		Loebvirae		Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Staminivirus		Staminivirus SMA9	ICTV20165399
