tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AKJ87315.1_Sclerotinia_sclerotiorum_megabirnavirus_1	AKJ87315.1	Sclerotinia sclerotiorum megabirnavirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Megabirnaviridae		Megabirnavirus		Megabirnavirus ni	ICTV202318127
BAU24262.1_Rosellinia_necatrix_megabirnavirus_2	BAU24262.1	Rosellinia necatrix megabirnavirus 2	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Megabirnaviridae		Megabirnavirus		Megabirnavirus shi	ICTV202318129
BAI48016.1_Rosellinia_necatrix_megabirnavirus_1	BAI48016.1	Rosellinia necatrix megabirnavirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Megabirnaviridae		Megabirnavirus		Megabirnavirus ichi	ICTV20115359
ALO50147.1_Pleosporales_megabirnavirus_1	ALO50147.1	Pleosporales megabirnavirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Megabirnaviridae		Megabirnavirus		Megabirnavirus sani	ICTV202318128
AVD68671.1_Entoleuca_megabirnavirus_1	AVD68671.1	Entoleuca megabirnavirus 1	AA	none		False																
BBB86809.1_Rosellinia_necatrix_megabirnavirus_3	BBB86809.1	Rosellinia necatrix megabirnavirus 3	AA	none		False																
AKO82515.1_Rhizoctonia_solani_RNA_virus_HN008	AKO82515.1	Rhizoctonia solani RNA virus HN008	AA	none		False																
AJE29745.1_Rhizoctonia_fumigata_virus_1	AJE29745.1	Rhizoctonia fumigata virus 1	AA	none		False																
BAJ21197.1_Lentinula_edodes_mycovirus_HKB	BAJ21197.1	Lentinula edodes mycovirus HKB	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Phlegiviridae		Phlegivirus		Phlegivirus shi	ICTV202318159
CAJ34333.2_Phlebiopsis_gigantea_large_virus_1	CAJ34333.2	Phlebiopsis gigantea large virus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Phlegiviridae		Phlegivirus		Phlegivirus ichi	ICTV202318156
ALT08064.1_Thelephora_terrestris_virus_1	ALT08064.1	Thelephora terrestris virus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Phlegiviridae		Phlegivirus		Phlegivirus ni	ICTV202318157
AAM68953.1_Helminthosporium_victoriae_145S_virus	AAM68953.1	Helminthosporium victoriae 145S virus	AA	none		False																
AAM95601.1_Penicillium_chrysogenum_virus	AAM95601.1	Penicillium chrysogenum virus	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus penicillii	ICTV19791045
ADG21213.1_Verticillium_dahliae_chrysovirus_1	ADG21213.1	Verticillium dahliae chrysovirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus verticillii	ICTV20125714
AAA50508.1_Saccharomyces_cerevisiae_virus_L-A	AAA50508.1	Saccharomyces cerevisiae virus L-A	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus ichi	ICTV19821337
AAB94791.2_Helminthosporium_victoriae_virus_190S	AAB94791.2	Helminthosporium victoriae virus 190S	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus ichi	ICTV19911507
AFD04798.1_Botrytis_porri_botybirnavirus_1	AFD04798.1	Botrytis porri botybirnavirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Botybirnaviridae		Botybirnavirus		Botybirnavirus ichi	ICTV20154547
AKH14760.1_Sclerotinia_sclerotiorum_botybirnavirus_1	AKH14760.1	Sclerotinia sclerotiorum botybirnavirus 1	AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Botybirnaviridae		Botybirnavirus		Botybirnavirus ni	ICTV202318101
