tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
FJ554526_Nyamanini_virus	FJ554526	Nyamanini virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus nyamaniniense	ICTV20130531
FJ554525_Midway_virus	FJ554525	Midway virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus midwayense	ICTV20130530
KF530058_Sierra_Nevada_virus	KF530058	Sierra Nevada virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus sierranevadaense	ICTV20140739
MK971153_San_Jacinto_virus	MK971153	San Jacinto virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus sanjacintoense	ICTV202009663
MN045233_Jeremy_Point_nyavirus	MN045233	Jeremy Point nyavirus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus somateriae	ICTV202112224
LC585887_Sekira_virus	LC585887	Sekira virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Nyavirus		Nyavirus argatis	ICTV202112223
KX884408_Beihai_rhabdo-like_virus_3	KX884408	Beihai rhabdo-like virus 3	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Berhavirus		Berhavirus sipunculi	ICTV20186256
KX884407_Beihai_rhabdo-like_virus_5	KX884407	Beihai rhabdo-like virus 5	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Berhavirus		Berhavirus radialis	ICTV20186258
KX884406_Beihai_rhabdo-like_virus_4	KX884406	Beihai rhabdo-like virus 4	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Berhavirus		Berhavirus beihaiense	ICTV20186257
KX257488_Orinoco_virus	KX257488	Orinoco virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Orinovirus		Orinovirus pasiphilae	ICTV20186252
MT153386_hymenopteran_orino-related_virus	MT153386	hymenopteran orino-related virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Formivirus		Formivirus chalybii	ICTV202009668
MT860232_Solenopsis_invicta_virus_15	MT860232	Solenopsis invicta virus 15	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Formivirus		Formivirus solenopsi	ICTV202112225
MW039259_hymenopteran_orino-related_virus	MW039259	hymenopteran orino-related virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Formivirus		Formivirus gorytis	ICTV202009667
MH477287_Formica_fusca_virus_1	MH477287	Formica fusca virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Formivirus		Formivirus angliae	ICTV202009665
MF287670_Formica_exsecta_virus_4	MF287670	Formica exsecta virus 4	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Formivirus		Formivirus finnoniae	ICTV202009666
KX884457_Wenling_crustacean_virus_12	KX884457	Wenling crustacean virus 12	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Crustavirus		Crustavirus wenlingense	ICTV20186249
KX884405_Beihai_rhabdo-like_virus_6	KX884405	Beihai rhabdo-like virus 6	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Crustavirus		Crustavirus beihaiense	ICTV20186250
KM817644_Wenzhou_crab_virus_1	KM817644	Wenzhou crab virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Crustavirus		Crustavirus wenzhouense	ICTV20151173
HM849038_soybean_cyst_nematode_virus_1	HM849038	soybean cyst nematode virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Socyvirus		Socyvirus heteroderae	ICTV20130533
KX884436_Wenzhou_tapeworm_virus_1	KX884436	Wenzhou tapeworm virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Nyamiviridae		Tapwovirus		Tapwovirus cesti	ICTV20186254
MG599939_Wuhan_sharpbelly_bornavirus	MG599939	Wuhan sharpbelly bornavirus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Cultervirus		Cultervirus hemicultri	ICTV201856589
MH190827_Borna_disease_virus_1	MH190827	Borna disease virus 1	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Orthobornavirus		Orthobornavirus bornaense	ICTV19960309
MF135780_jungle_carpet_python_virus	MF135780	jungle carpet python virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Bornaviridae		Carbovirus		Carbovirus queenslandense	ICTV20175571
KX431032_Pteromalus_puparum_negative-strand_RNA_v	KX431032	Pteromalus puparum negative-strand RNA v	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Artoviridae		Peropuvirus		Peropuvirus pteromali	ICTV20165113
KM817661_Xincheng_mosquito_virus	KM817661	Xincheng mosquito virus	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Xinmoviridae		Anphevirus		Anphevirus xinchengense	ICTV20151175
KM817632_Lishi_spider_virus_2	KM817632	Lishi spider virus 2	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Lispiviridae		Arlivirus		Arlivirus arachnae	ICTV20151177
KJ18678_Sclerotinia_sclerotiorum_negative_strand	KJ18678	Sclerotinia sclerotiorum negative strand	AA	none		False																
