tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
GU384895_Equus_caballus_papillomavirus_3	GU384895	Equus caballus papillomavirus 3	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyorhopapillomavirus		Dyorhopapillomavirus 1	ICTV20132455
JQ965698_Equus_caballus_papillomavirus_6	JQ965698	Equus caballus papillomavirus 6	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyorhopapillomavirus		Dyorhopapillomavirus 1	ICTV20132455
AF498323_Equus_caballus_papillomavirus_1	AF498323	Equus caballus papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Zetapapillomavirus		Zetapapillomavirus 1	ICTV20041499
KU963288_Equus_caballus_papillomavirus_8	KU963288	Equus caballus papillomavirus 8	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Treiskappapapillomavirus		Treiskappapapillomavirus 1	ICTV20175877
DQ295066_Canis_familiaris_papillomavirus_3	DQ295066	Canis familiaris papillomavirus 3	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Chipapillomavirus		Chipapillomavirus 1	ICTV20115570
HQ293213_Zalophus_californianus_papillomavirus_1	HQ293213	Zalophus californianus papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyonupapillomavirus		Dyonupapillomavirus 1	ICTV20132447
EU796884_Felis_domesticus_papillomavirus_2	EU796884	Felis domesticus papillomavirus 2	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyothetapapillomavirus		Dyothetapapillomavirus 1	ICTV20115578
U01834_Mastomys_natalensis_papillomavirus_1	U01834	Mastomys natalensis papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Iotapapillomavirus		Iotapapillomavirus 1	ICTV20041487
KF741371_Equus_asinus_papillomavirus	KF741371	Equus asinus papillomavirus	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyochipapillomavirus		Dyochipapillomavirus 1	ICTV20153394
M15953_Alces_alces_papillomavirus_1	M15953	Alces alces papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Deltapapillomavirus		Deltapapillomavirus 1	ICTV19951390
AF457465_Bos_taurus_papillomavirus_5	AF457465	Bos taurus papillomavirus 5	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Epsilonpapillomavirus		Epsilonpapillomavirus 1	ICTV20041480
FJ796965_Ovis_aries_papillomavirus_3	FJ796965	Ovis aries papillomavirus 3	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyokappapapillomavirus		Dyokappapapillomavirus 1	ICTV20132441
DQ366842_Rousettus_aegyptiacus_papillomavirus_1	DQ366842	Rousettus aegyptiacus papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Psipapillomavirus		Psipapillomavirus 1	ICTV20115572
EU240894_Tursiops_truncatus_papillomavirus_1	EU240894	Tursiops truncatus papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Upsilonpapillomavirus		Upsilonpapillomavirus 1	ICTV20115567
AJ238373_Phocoena_spinipinnis_papillomavirus	AJ238373	Phocoena spinipinnis papillomavirus	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Omikronpapillomavirus		Omikronpapillomavirus 1	ICTV20041495
JF304765_Saimiri_sciureus_papillomavirus_1	JF304765	Saimiri sciureus papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyoomikronpapillomavirus		Dyoomikronpapillomavirus 1	ICTV20132451
X74475_human_papillomavirus_32	X74475	human papillomavirus 32	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Alphapapillomavirus		Alphapapillomavirus 1	ICTV20041462
GU117623_Phocoena_phocoena_papillomavirus	GU117623	Phocoena phocoena papillomavirus	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyopipapillomavirus		Dyopipapillomavirus 1	ICTV20132453
EF395818_Sus_scrofa_papillomavirus_1	EF395818	Sus scrofa papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Dyodeltapapillomavirus		Dyodeltapapillomavirus 1	ICTV20115574
JQ814847_Myotis_ricketti_papillomavirus_1	JQ814847	Myotis ricketti papillomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Treisiotapapillomavirus		Treisiotapapillomavirus 1	ICTV20175875
