tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Rosellinia_necatrix_partitivirus_2_AB569997	AB569997	Rosellinia necatrix partitivirus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus roselliniae	ICTV20132512
Chondrostereum_purpureum_cryptic_virus_1_AM999771	AM999771	Chondrostereum purpureum cryptic virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus chondrosteri	ICTV20132508
Flammulina_velutipes_browning_virus_AB465308	AB465308	Flammulina velutipes browning virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus flammulinae	ICTV20132509
Heterobasidion_partitivirus_12_KF963175	KF963175	Heterobasidion partitivirus 12	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus duodecimheterobasidion	ICTV20153421
Heterobasidion_partitivirus_3_FJ816271	FJ816271	Heterobasidion partitivirus 3	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus triheterobasidion	ICTV20133605
Helicobasidium_mompa_partitivirus_V70_AB025903	AB025903	Helicobasidium mompa partitivirus V70	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus helicobasidii	ICTV20074115
Heterobasidion_partitivirus_13_KF963177	KF963177	Heterobasidion partitivirus 13	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus tredecimheterobasidion	ICTV20153422
Heterobasidion_partitivirus_15_KF963186	KF963186	Heterobasidion partitivirus 15	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus quindecimheterobasidion	ICTV20153423
Heterobasidion_partitivirus_1_HQ541323	HQ541323	Heterobasidion partitivirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus uniheterobasidion	ICTV20133604
Cherry_chlorotic_rusty_spot_associated_partitivirus_AJ781168	AJ781168	Cherry chlorotic rusty spot associated partitivirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus cerasi	ICTV20132507
White_clover_cryptic_virus_1_AY705784	AY705784	White clover cryptic virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus trifolii	ICTV19871282
Vicia_cryptic_virus_AY751737	AY751737	Vicia cryptic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus viciae	ICTV19871281
Carrot_cryptic_virus_FJ550604	FJ550604	Carrot cryptic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus carotae	ICTV20132506
Beet_cryptic_virus_1_EU489061	EU489061	Beet cryptic virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Alphapartitivirus		Alphapartitivirus betae	ICTV19871274
Atkinsonella_hypoxylon_virus_L39125	L39125	Atkinsonella hypoxylon virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Betapartitivirus		Betapartitivirus atkinsonellae	ICTV19991171
Ceratocystis_resinifera_virus_1_AY603052	AY603052	Ceratocystis resinifera virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Betapartitivirus		Betapartitivirus ceratocystis	ICTV20094250
Heterobasidion_partitivirus_P_AF473549	AF473549	Heterobasidion partitivirus P	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Duplopiviricetes		Durnavirales		Partitiviridae		Betapartitivirus		Betapartitivirus piheterobasidion	ICTV20074116
