tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
M20036_Aleutian_mink_disease_parvovirus	M20036	Aleutian mink disease parvovirus	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Amdoparvovirus		Amdoparvovirus carnivoran1	ICTV20132553
J02275_minute_virus_of_mice	J02275	minute virus of mice	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Protoparvovirus		Protoparvovirus rodent1	ICTV20132616
GU214706_turkey_parvovirus	GU214706	turkey parvovirus	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Aveparvovirus		Aveparvovirus galliform1	ICTV20132620
DQ335247_bovine_parvovirus_1	DQ335247	bovine parvovirus 1	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Bocaparvovirus		Bocaparvovirus ungulate1	ICTV20132565
AF406966_bovine_parvovirus_2	AF406966	bovine parvovirus 2	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Copiparvovirus		Copiparvovirus ungulate1	ICTV20132622
AF043303_adeno-associated_virus_2	AF043303	adeno-associated virus 2	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Dependoparvovirus		Dependoparvovirus primate1	ICTV20132583
AY622943_human_parvovirus_4	AY622943	human parvovirus 4	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Tetraparvovirus		Tetraparvovirus primate1	ICTV20132626
AY386330_human_parvovirus_B19	AY386330	human parvovirus B19	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Erythroparvovirus		Erythroparvovirus primate1	ICTV20132595
GU371276_Fenneropenaeus_chinensis_hepandensovirus	GU371276	Fenneropenaeus chinensis hepandensovirus	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Hepanvirinae	Protohepanvirus		Protohepanvirus decapod1	ICTV20132632
EU233812_Anopheles_gambiae_densovirus	EU233812	Anopheles gambiae densovirus	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Penbrevirinae	Brevipenbrevirus		Brevipenbrevirus dipteran1	ICTV20132530
AF273215_Penaeus_stylirostris_penstyldensovirus_1	AF273215	Penaeus stylirostris penstyldensovirus 1	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Penbrevirinae	Shripenbrevirus		Shripenbrevirus decapod1	ICTV20132634
AY033435_Bombyx_mori_densovirus_1	AY033435	Bombyx mori densovirus 1	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Densovirinae	Iteradensovirus		Iteradensovirus lepidopteran1	ICTV20132543
L32896_Galleria_mellonella_densovirus	L32896	Galleria mellonella densovirus	AA	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Densovirinae	Protoambidensovirus		Protoambidensovirus lepidopteran1	ICTV20132539
AB076003_torque_teno_felis_virus	AB076003	torque teno felis virus	AA	none		True	Floreoviria		Shotokuvirae		Commensaviricota		Cardeaviricetes		Sanitavirales		Anelloviridae		Etatorquevirus		Etatorquevirus felid1	ICTV20093136
GQ404850_chimpanzee_faeces_associated_cyclovirus	GQ404850	chimpanzee faeces associated cyclovirus	AA	none		False																
