tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AVX29478_Marmot_PBV_HT4	AVX29478	Marmot PBV HT4	AA	none		False																
AVX29475_Marmot_PBV_HT3	AVX29475	Marmot PBV HT3	AA	none		False																
AKN50617_PBV_Equ4	AKN50617	PBV Equ4	AA	none		False																
AVX29469_Marmot_PBV_HT1	AVX29469	Marmot PBV HT1	AA	none		False																
ATL73071_Roedeer_PBV_SLO	ATL73071	Roedeer PBV SLO	AA	none		False																
YP_009241386_PBV_porcine221	YP_009241386	PBV porcine221	AA	none		False																
AKN50621_PBV_Equ2	AKN50621	PBV Equ2	AA	none		False																
AHX00960_Human_PBV_CDC16	AHX00960	Human PBV CDC16	AA	none		False																
YP_009351841_Otarine_PBV_PF080915	YP_009351841	Otarine PBV PF080915	AA	none		False																
AMP18966_Otarine_PBV_PF090307	AMP18966	Otarine PBV PF090307	AA	none		False																
YP_239361_Human_PBV_Hy005102	YP_239361	Human PBV Hy005102	AA	none		False																
AMP18952_Otarine_PBV_PF080910	AMP18952	Otarine PBV PF080910	AA	none		False																
AGK45545_PBV_Fox5	AGK45545	PBV Fox5	AA	none		False																
AAG53583_Human_PBV_1CHN97	AAG53583	Human PBV 1CHN97	AA	none		False																
AVM87403_Běihǎi_goatfish_PBV	AVM87403	Běihǎi goatfish PBV	AA	none		False																
APG78193_Běihǎi_PBLV_13	APG78193	Běihǎi PBLV 13	AA	none		False																
APG78268_Shāhé_PBLV_2	APG78268	Shāhé PBLV 2	AA	none		False																
APG78190_Běihǎi_PBLV_12	APG78190	Běihǎi PBLV 12	AA	none		False																
APG78271_Shāhé_PBLV_1	APG78271	Shāhé PBLV 1	AA	none		False																
APG78172_Běihǎi_PBLV_7	APG78172	Běihǎi PBLV 7	AA	none		False																
APG78174_Běihǎi_PBLV_8	APG78174	Běihǎi PBLV 8	AA	none		False																
BAU79482_Diatom_colony_associated_virus_1	BAU79482	Diatom colony associated virus 1	AA	none		False																
AVX29472_Marmot_PBV_HT2	AVX29472	Marmot PBV HT2	AA	none		False																
AAG53584_Human_PBV_4GA91	AAG53584	Human PBV 4GA91	AA	none		False																
AKN50618_PBV_Equ1	AKN50618	PBV Equ1	AA	none		False																
AHX00958_Human_PBV_CDC23	AHX00958	Human PBV CDC23	AA	none		False																
AKN50624_PBV_Equ3	AKN50624	PBV Equ3	AA	none		False																
