tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
His2_virus__AF191797@S8_G1_U1_F1		His2 virus AF191797@S8 G1 U1 F1	unknown	none		False																
Haloarcula_virus_Hardyhisp2__MW557853@S2_G1_U1_F1		Haloarcula virus Hardyhisp2 MW557853@S2 G1 U1 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_1__FJ685651@S1_G2_U2_F1		Halorubrum pleomorphic virus 1 FJ685651@S1 G2 U2 F1	unknown	none		False																
Haloarcula_hispanica_pleomorphic_virus_1__GU321093@S4_G2_U2_F1		Haloarcula hispanica pleomorphic virus 1 GU321093@S4 G2 U2 F1	unknown	none		False																
Haloarcula_hispanica_pleomorphic_virus_2__KF056323@S5_G2_U2_F1		Haloarcula hispanica pleomorphic virus 2 KF056323@S5 G2 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_6__JN882266@S11_G2_U2_F1		Halorubrum pleomorphic virus 6 JN882266@S11 G2 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_2__JN882264@S9_G2_U2_F1		Halorubrum pleomorphic virus 2 JN882264@S9 G2 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_3__JN882265@S10_G4_U2_F1		Halorubrum pleomorphic virus 3 JN882265@S10 G4 U2 F1	unknown	none		False																
Haloarcula_hispanica_pleomorphic_virus_3__KX344510@S6_G4_U2_F1		Haloarcula hispanica pleomorphic virus 3 KX344510@S6 G4 U2 F1	unknown	none		False																
Haloarcula_hispanica_pleomorphic_virus_4__KY264020@S7_G4_U2_F1		Haloarcula hispanica pleomorphic virus 4 KY264020@S7 G4 U2 F1	unknown	none		False																
SNJ2@S14_G4_U2_F1		SNJ2@S14 G4 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_9__KY965934@S12_G3_U2_F1		Halorubrum pleomorphic virus 9 KY965934@S12 G3 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_10__MG550111@S13_G3_U2_F1		Halorubrum pleomorphic virus 10 MG550111@S13 G3 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_11__MG550113@S13_G3_U2_F1		Halorubrum pleomorphic virus 11 MG550113@S13 G3 U2 F1	unknown	none		False																
Halorubrum_pleomorphic_virus_12__MG550110@S13_G3_U2_F1		Halorubrum pleomorphic virus 12 MG550110@S13 G3 U2 F1	unknown	none		False																
Halogeometricum_pleomorphic_virus_1__JN882267@S3_G3_U2_F1		Halogeometricum pleomorphic virus 1 JN882267@S3 G3 U2 F1	unknown	none		False																
