tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Trematomus_bernacchii_PyV_1_MG800627	MG800627	Trematomus bernacchii PyV 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Thetapolyomavirus		Thetapolyomavirus trebernacchii	ICTV201856352
Sparus_aurata_polyomavirus_1_KX643371	KX643371	Sparus aurata polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Thetapolyomavirus		Thetapolyomavirus spari	ICTV201856351
Trematomus_pennellii_polyomavirus_1_KP768176	KP768176	Trematomus pennellii polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Thetapolyomavirus		Thetapolyomavirus trepennellii	ICTV20175911
Centropristis_striata_polyomavirus_1_KP071318	KP071318	Centropristis striata polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Thetapolyomavirus		Thetapolyomavirus censtriata	ICTV20153747
Rhynchobatus_djiddensis_polyomavirus_1_KP264963	KP264963	Rhynchobatus djiddensis polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Etapolyomavirus		Etapolyomavirus rhyndjiddensis	ICTV20175910
Pygoscelis_adeliae_polyomavirus_1_KP033140	KP033140	Pygoscelis adeliae polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Gammapolyomavirus		Gammapolyomavirus padeliae	ICTV20153739
Anser_anser_polyomavirus_1_AY140894	AY140894	Anser anser polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Gammapolyomavirus		Gammapolyomavirus anseris	ICTV20153736
Cracticus_torquatus_polyomavirus_1_KF360862	KF360862	Cracticus torquatus polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Gammapolyomavirus		Gammapolyomavirus cratorquatus	ICTV20153738
Corvus_monedula_polyomavirus_1_DQ192570	DQ192570	Corvus monedula polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Gammapolyomavirus		Gammapolyomavirus corvi	ICTV20153737
Erythrura_gouldiae_polyomavirus_1_KT302407	KT302407	Erythrura gouldiae polyomavirus 1	nt	none		True	Floreoviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Gammapolyomavirus		Gammapolyomavirus egouldiae	ICTV20175908
