tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MH645042_wheat_spindle_streak_mosaic_virus	MH645042	wheat spindle streak mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus tritici	ICTV19931503
D86635_wheat_yellow_mosaic_virus	D86635	wheat yellow mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus triticitessellati	ICTV19991356
AJ132269_barley_yellow_mosaic_virus	AJ132269	barley yellow mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus hordeiluteum	ICTV19931500
AJ306719_oat_mosaic_virus	AJ306719	oat mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus avenae	ICTV19931501
X90904_barley_mild_mosaic_virus	X90904	barley mild mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus hordei	ICTV19931499
LC060925_rice_necrosis_mosaic_virus	LC060925	rice necrosis mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bymovirus		Bymovirus oryzae	ICTV19931502
OL472142ACCESSION_NOT_ON_SPREADSHEET	OL472142		AA	none		False																
MG755240_yam_chlorotic_necrosis_virus	MG755240	yam chlorotic necrosis virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Macluravirus		Macluravirus dioscoreaflavinecrosis	ICTV201907444
AB710145_Chinese_yam_necrotic_mosaic_virus	AB710145	Chinese yam necrotic mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Macluravirus		Macluravirus dioscoreachinense	ICTV20084479
KT724961_yam_chlorotic_mosaic_virus	KT724961	yam chlorotic mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Macluravirus		Macluravirus dioscoreaflavitessellati	ICTV20165418
MF622947_cardamom_mosaic_virus	MF622947	cardamom mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Macluravirus		Macluravirus cardamomi	ICTV19911763
MG978107_Alpinia_oxyphylla_mosaic_virus	MG978107	Alpinia oxyphylla mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Macluravirus		Macluravirus alipiniatessallati	ICTV201907443
0.16690164		0.16690164	AA	none		False																
OL958554ACCESSION_NOT_ON_SPREADSHEET	OL958554		AA	none		False																
KY491536_bellflower_veinal_mottle_virus	KY491536	bellflower veinal mottle virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Bevemovirus		Bevemovirus campanulae	ICTV20175915
MH330686_areca_palm_necrotic_spindleâspot_virus	MH330686	areca palm necrotic spindleâspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Stelpaviricetes		Patatavirales		Potyviridae		Arepavirus		Arepavirus arecamaculatum	ICTV201907456
