tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AF325528_lumpy_skin_disease_virus	AF325528	lumpy skin disease virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Capripoxvirus		Capripoxvirus lumpyskinpox	ICTV19710276
AY077832_sheeppox_virus	AY077832	sheeppox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Capripoxvirus		Capripoxvirus sheeppox	ICTV19710286
AY077835_goatpox_virus	AY077835	goatpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Capripoxvirus		Capripoxvirus goatpox	ICTV19710271
AF410153_swinepox_virus	AF410153	swinepox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Suipoxvirus		Suipoxvirus swinepox	ICTV19710290
AY689436_mule_deerpox_virus	AY689436	mule deerpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Cervidpoxvirus		Cervidpoxvirus muledeerpox	ICTV20084634
MH816996_orthopoxvirus_Abatino	MH816996	orthopoxvirus Abatino	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus abatinomacacapox	ICTV201907149
AF012825_ectromelia_virus	AF012825	ectromelia virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus ectromelia	ICTV19710274
DQ437594_taterapox_virus	DQ437594	taterapox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus taterapox	ICTV19911345
AF438165_camelpox_virus	AF438165	camelpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus camelpox	ICTV19710266
X69198_variola_major_virus	X69198	variola major virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus variola	ICTV19710294
Y16780_variola_minor_virus	Y16780	variola minor virus	AA	none		False																
AY243312_vaccinia_virus	AY243312	vaccinia virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus vaccinia	ICTV19911346
DQ792504_horsepox_virus	DQ792504	horsepox virus	AA	none		False																
AY753185_monkeypox_virus_clade_IIa	AY753185	monkeypox virus clade IIa	AA	none		False																
AF380138_monkeypox_virus_clade_I	AF380138	monkeypox virus clade I	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus monkeypox	ICTV19710279
AF482758_cowpox_virus	AF482758	cowpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus cowpox	ICTV19710269
MH607141_Akhmeta_virus	MH607141	Akhmeta virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus akhmetapox	ICTV201907150
KP143769_raccoonpox_virus	KP143769	raccoonpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus raccoonpox	ICTV19790736
KU749310_skunkpox_virus	KU749310	skunkpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus skunkpox	ICTV20115666
KU749311_volepox_virus	KU749311	volepox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Orthopoxvirus		Orthopoxvirus volepox	ICTV19951964
HQ849551_yokapox_virus	HQ849551	yokapox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Centapoxvirus		Centapoxvirus yokapox	ICTV20165422
MF001304_Murmansk_poxvirus	MF001304	Murmansk poxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Centapoxvirus		Centapoxvirus microtuspox	ICTV201907143
KY382358_seal_parapoxvirus	KY382358	seal parapoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Parapoxvirus		Parapoxvirus sealpox	ICTV201907153
AY386265_bovine_papular_stomatitis_virus	AY386265	bovine papular stomatitis virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Parapoxvirus		Parapoxvirus bovinestomatitis	ICTV19710263
KM502564_parapoxvirus_red_deer	KM502564	parapoxvirus red deer	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Parapoxvirus		Parapoxvirus reddeerpox	ICTV19951967
GQ329670_pseudocowpox_virus	GQ329670	pseudocowpox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Parapoxvirus		Parapoxvirus pseudocowpox	ICTV19710277
AY386264_orf_virus	AY386264	orf virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Parapoxvirus		Parapoxvirus orf	ICTV19710281
KU980965_pteropox_virus	KU980965	pteropox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Pteropopoxvirus		Pteropopoxvirus pteropox	ICTV20165423
MH427217_sea_otter_poxvirus	MH427217	sea otter poxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Mustelpoxvirus		Mustelpoxvirus seaotterpox	ICTV201907148
AF063866_Melanoplus_sanguinipes_entomopoxvirus_O	AF063866	Melanoplus sanguinipes entomopoxvirus O	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Deltaentomopoxvirus		Deltaentomopoxvirus msanguinipes	ICTV20095322
HF679134_Mythimna_separata_entomopoxvirus	HF679134	Mythimna separata entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Betaentomopoxvirus		Betaentomopoxvirus mseparata	ICTV20143433
HF679131_Adoxophyes_honmai_entomopoxvirus	HF679131	Adoxophyes honmai entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Betaentomopoxvirus		Betaentomopoxvirus ahonmai	ICTV20143431
AF250284_Amsacta_moorei_entomopoxvirus	AF250284	Amsacta moorei entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Betaentomopoxvirus		Betaentomopoxvirus amoorei	ICTV19760459
HF679132_Choristoneura_biennis_entomopoxvirus	HF679132	Choristoneura biennis entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Betaentomopoxvirus		Betaentomopoxvirus cbiennis	ICTV19760466
HF679133_Choristoneura_rosaceana_entomopoxvirus	HF679133	Choristoneura rosaceana entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Betaentomopoxvirus		Betaentomopoxvirus crosaceana	ICTV20143432
AP013055_Anomala_cuprea_entomopoxvirus	AP013055	Anomala cuprea entomopoxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Entomopoxvirinae	Alphaentomopoxvirus		Alphaentomopoxvirus acuprea	ICTV19760460
KT159937_salmon_gill_poxvirus	KT159937	salmon gill poxvirus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Salmonpoxvirus		Salmonpoxvirus gillpox	ICTV201907156
DQ356948_Nile_crocodilepox_virus	DQ356948	Nile crocodilepox virus	AA	none		True	Varidnaviria		Bamfordvirae		Nucleocytoviricota		Pokkesviricetes		Chitovirales		Poxviridae	Chordopoxvirinae	Crocodylidpoxvirus		Crocodylidpoxvirus nilecrocodilepox	ICTV20115667
