tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AB620063_Rosellinia_necatrix_quadrivirus_1	AB620063	Rosellinia necatrix quadrivirus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Quadriviridae		Quadrivirus		Quadrivirus ichi	ICTV20125709
AB771723_Rosellinia_necatrix_quadrivirus_1	AB771723	Rosellinia necatrix quadrivirus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Quadriviridae		Quadrivirus		Quadrivirus ichi	ICTV20125709
AB744679_Rosellinia_necatrix_quadrivirus_1	AB744679	Rosellinia necatrix quadrivirus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Quadriviridae		Quadrivirus		Quadrivirus ichi	ICTV20125709
AM085134_Amasya_cherry_disease-associated	AM085134	Amasya cherry disease-associated	nt	none		False																
AM085135_Amasya_cherry_disease_associated-mycovir	AM085135	Amasya cherry disease associated-mycovir	nt	none		False																
U01060_Saccharomyces_cerevisiae_virus_L_BC-(La)	U01060	Saccharomyces cerevisiae virus L BC-(La)	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus ni	ICTV19991751
KC610514_Scheffersomyces_segobiensis_virus_L	KC610514	Scheffersomyces segobiensis virus L	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus roku	ICTV20133419
JN997472_Xanthophyllomyces_dendrorhous_virus_L1A	JN997472	Xanthophyllomyces dendrorhous virus L1A	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus shi	ICTV20133421
LC075490_red_clover_powdery_mildew-associated_tot	LC075490	red clover powdery mildew-associated tot	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus jyuichi	ICTV202318134
J04692_Saccharomyces_cerevisiae_virus_L-A	J04692	Saccharomyces cerevisiae virus L-A	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus ichi	ICTV19821337
LC075485_red_clover_powdery_mildew-associated_tot	LC075485	red clover powdery mildew-associated tot	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Orthototiviridae		Totivirus		Totivirus hachi	ICTV202318130
AF325840_Trichomonas_vaginalis_virus_3	AF325840	Trichomonas vaginalis virus 3	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Trichomonasvirus		Trichomonasvirus vagitertius	ICTV20115363
AF127178_Trichomonas_vaginalis_virus_2	AF127178	Trichomonas vaginalis virus 2	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Trichomonasvirus		Trichomonasvirus vagisecundus	ICTV20115362
KM268108_Trichomonas_vaginalis_virus_1	KM268108	Trichomonas vaginalis virus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Trichomonasvirus		Trichomonasvirus vagiprimus	ICTV20115361
U01899_Leishmania_RNA_virus_1-4	U01899	Leishmania RNA virus 1-4	nt	none		False																
M92355_Leishmania_RNA_virus_1-1	M92355	Leishmania RNA virus 1-1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Leishmaniavirus		Leishmaniavirus ichi	ICTV19931791
U32108_Leishmania_RNA_virus_2-1	U32108	Leishmania RNA virus 2-1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Leishmaniavirus		Leishmaniavirus ni	ICTV19952301
AF039080_Sphaeropsis_sapinea_RNA_virus_2	AF039080	Sphaeropsis sapinea RNA virus 2	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus shi	ICTV20095173
AM261427_Epichloe_festucae_virus_1	AM261427	Epichloe festucae virus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus hachi	ICTV20095167
AF337175_Gremmeniella_abietina_RNA_virus_L1	AF337175	Gremmeniella abietina RNA virus L1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus shichi	ICTV20095168
U41345_Helminthosporium_victoriae_virus_190S	U41345	Helminthosporium victoriae virus 190S	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus ichi	ICTV19911507
AB176964_Magnaporthe_oryzae_virus_1	AB176964	Magnaporthe oryzae virus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus kyu	ICTV20095171
AB085814_Helicobasidium_mompa_totivirus_1-17	AB085814	Helicobasidium mompa totivirus 1-17	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Pseudototiviridae		Victorivirus		Victorivirus roku	ICTV20095169
AF297176_Helminthosporium_victoriae_145S_virus	AF297176	Helminthosporium victoriae 145S virus	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus helminthosporii	ICTV20020786
HM004067_Verticillium_dahliae_chrysovirus_1	HM004067	Verticillium dahliae chrysovirus 1	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus verticillii	ICTV20125714
AF296439_Penicillium_chrysogenum_virus	AF296439	Penicillium chrysogenum virus	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus penicillii	ICTV19791045
FN178512_Aspergillus_fumigatus_chrysovirus	FN178512	Aspergillus fumigatus chrysovirus	nt	none		True	Riboviria		Orthornavirae		Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Alphatotivirineae	Chrysoviridae		Alphachrysovirus		Alphachrysovirus aspergilli	ICTV20125711
