tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
MK059760	MK059760		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059770	MK059770		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059767	MK059767		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059766	MK059766		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059771	MK059771		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059763	MK059763		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059761	MK059761		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059772	MK059772		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
KY328746	KY328746		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
KY244146	KY244146		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
KY328745	KY328745		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059769	MK059769		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
KY328744	KY328744		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
KJ433989.1	KJ433989.1		AA	none		False																
MK059764	MK059764		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059762	MK059762		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059765	MK059765		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059768	MK059768		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus viento	ICTV201907365
MK059758	MK059758		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
KY052047	KY052047		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MK059755	MK059755		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
KY349925	KY349925		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MK059759	MK059759		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MK059757	MK059757		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MK059756	MK059756		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MK059754	MK059754		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
MH973742	MH973742		AA	none		True	Floreoviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Recrevirales		Redondoviridae		Torbevirus		Torbevirus brisa	ICTV201907364
NC_030129.1	NC_030129.1		AA	none		False																
KX838318.1	KX838318.1		AA	none		False																
