tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
StrV1_MK211271_1207_bp	MK211271	StrV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alphafragariae	ICTV202008907
PogACRV2_BK064291_1207_bp	BK064291	PogACRV2 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus gammapogostemi	ICTV202420652
MedACRV1_BK064279_1207_bp	BK064279	MedACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus betamedicagonis	ICTV202420638
TYMaV_KY075646_1207_bp	KY075646	TYMaV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus lycopersici	ICTV201907673
PCaCV_ON409991_1207_bp	ON409991	PCaCV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alphapogostemi	ICTV202317918
KePCyV_MN689395_1207_bp	MN689395	KePCyV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus kenyatuberosum	ICTV202214172
OciACRV1_BK064284_1207_bp	BK064284	OciACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus ocimi	ICTV202420659
NymAV1_BK014307_1207_bp	BK014307	NymAV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus nymphaeae	ICTV202214173
MenACRV1_BK064280_1207_bp	BK064280	MenACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus menthae	ICTV202420656
PriACRV2_BK064295_1207_bp	BK064295	PriACRV2 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus betaprimulae	ICTV202420640
PelACRV1_BK064285_1207_bp	BK064285	PelACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus pelargonii	ICTV202420661
RosACRV1_BK064296_1207_bp	BK064296	RosACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus rosae	ICTV202420665
GlLV1_BK014304_1207_bp	BK014304	GlLV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus glehniae	ICTV202214170
TpVA_MH982250_1207_bp	MH982250	TpVA 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alphatrifolii	ICTV202008908
CheYMaV_OR290114_1207_bp	OR290114	CheYMaV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus chelidonii	ICTV202420643
WhIV6_KM817652_1207_bp	KM817652	WhIV6 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus gammawuhaninsectus	ICTV201907677
CYDaV_MW039593_1207_bp	MW039593	CYDaV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alphachysanthemi	ICTV202113309
UtrACRV1_BK064301_1207_bp	BK064301	UtrACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus utriculariae	ICTV202420669
PaCRV1_OL472112_1207_bp	OL472112	PaCRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus pastinacae	ICTV202317917
CarACRV1_BK064267_1207_bp	BK064267	CarACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus cardaminis	ICTV202420642
PNSaV_OR335651_1207_bp	OR335651	PNSaV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus plumagonis	ICTV202420664
HpLV_ON073823_1207_bp	ON073823	HpLV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus hyptisis	ICTV202317916
SCV_MH129615_1207_bp	MH129615	SCV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus fragariarugosus	ICTV19910279
FicACRV1_BK064274_1207_bp	BK064274	FicACRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus fici	ICTV202420650
ADV_KP205452_1207_bp	KP205452	ADV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alphamedicagonis	ICTV20151085
RVCV_MK240091_1207_bp	MK240091	RVCV 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus alpharubi	ICTV201907671
CoCRV1_OR536958_1207_bp	OR536958	CoCRV1 1207 bp	AA	none		True	Riboviria		Orthornavirae		Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae	Betarhabdovirinae	Alphacytorhabdovirus		Alphacytorhabdovirus coriandri	ICTV202420646
