tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
FN691934_grapevine_Bulgarian_latent_virus	FN691934	grapevine Bulgarian latent virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus bulgariense	ICTV19821254
MT591564_blueberry_leaf_mottle_virus	MT591564	blueberry leaf mottle virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus myrtilli	ICTV19821249
OX380383_common_water_moss_secovirus	OX380383	common water moss secovirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus fontinalis	ICTV202318384
OX380481_tomato_fern_secovirus	OX380481	tomato fern secovirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus lonchitis	ICTV202318385
OX380465_shoestring_fern_secovirus	OX380465	shoestring fern secovirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus vittariae	ICTV202318386
BK061328_Paris_polyphylla_secovirus_1	BK061328	Paris polyphylla secovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus betaparis	ICTV202420579
AF368272_blackcurrant_reversion_virus	AF368272	blackcurrant reversion virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus ribis	ICTV19981285
AM087671_artichoke_yellow_ringspot_virus	AM087671	artichoke yellow ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus cynarae	ICTV19821248
HE613269_grapevine_deformation_virus	HE613269	grapevine deformation virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus deformationis	ICTV20083264
D00915_grapevine_fanleaf_virus	D00915	grapevine fanleaf virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus foliumflabelli	ICTV19710218
AY303786_Arabis_mosaic_virus	AY303786	Arabis mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus arabis	ICTV19710217
KC904083_mulberry_mosaic_leaf_roll_associated_virus	KC904083	mulberry mosaic leaf roll associated virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus mori	ICTV20151454
AB518485_melon_mild_mottle_virus	AB518485	melon mild mottle virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus cucumis	ICTV20115433
KX812815_petunia_chlorotic_mottle_virus	KX812815	petunia chlorotic mottle virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus petuniae	ICTV202112969
KY569301_Arracacha_virus_A	KY569301	Arracacha virus A	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus arracaciae	ICTV19821246
JX304792_Aeonium_ringspot_virus	JX304792	Aeonium ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus aeonii	ICTV20151453
KC832890_potato_black_ringspot_virusACCESSION_NOT_ON_SPREADSHEET	KC832890	potato black ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus solani	ICTV19791038
U50869_tobacco_ringspot_virus	U50869	tobacco ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus nicotianae	ICTV19710221
MH323435_green_Sichuan_pepper_nepovirus	MH323435	green Sichuan pepper nepovirus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus sichuanense	ICTV202113816
BK064709_Prunus_mira_virus_A	BK064709	Prunus mira virus A	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus mirae	ICTV202420580
AY303787_raspberry_ringspot_virus	AY303787	raspberry ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus rubi	ICTV19710219
MT507290_grapevine_nepovirus_A	MT507290	grapevine nepovirus A	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus alphavitis	ICTV202113817
AB073147_Cycas_necrotic_stunt_virus	AB073147	Cycas necrotic stunt virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus cycas	ICTV19911715
OP374158_paris_nepovirus_1	OP374158	paris nepovirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus alphaparis	ICTV202318382
OP292294_horse_nettle_virus	OP292294	horse nettle virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus carolinense	ICTV202318383
KX656670_potato_virus_B	KX656670	potato virus B	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus betasolani	ICTV20175628
X15346_grapevine_chrome_mosaic_virus	X15346	grapevine chrome mosaic virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus chromusivum	ICTV19760712
HE774604_grapevine_Anatolian_ringspot_virus	HE774604	grapevine Anatolian ringspot virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus anatoliense	ICTV20083261
MG253828_red_clover_nepovirus_A	MG253828	red clover nepovirus A	AA	none		True	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus pratensis	ICTV202112971
