tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
JQ070376	JQ070376		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus eubenangeense	ICTV19740123
KF234259	KF234259		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus betamitchellense	ICTV19790797
KJ495755	KJ495755		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus gammamitchellense	ICTV19790798
X12819	X12819		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus caerulinguae	ICTV19740118
AM744977	AM744977		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus ruminantium	ICTV19740122
KF624614	KF624614		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus changuinolaense	ICTV19740119
JQ610675	JQ610675		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus orungoense	ICTV19952033
FJ183384	FJ183384		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus betaequi	ICTV19790791
JQ610665	JQ610665		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus lebomboense	ICTV19820982
U94887	U94887		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus alphaequi	ICTV19740117
AB018086	AB018086		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus palyamense	ICTV19740125
KP268794	KP268794		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus chenudaense	ICTV19952025
KP268804	KP268804		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus wadmedaniense	ICTV19952036
KP268784	KP268784		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus chobarense	ICTV19982418
KC853042	KC853042		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus alphamitchellense	ICTV19740121
HQ842619	HQ842619		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus umatillaense	ICTV19952035
DQ248057	DQ248057		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus gammaequi	ICTV20041986
AY701509	AY701509		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus yunnanense	ICTV20084783
AF133431	AF133431		AA	none		True	Riboviria		Orthornavirae		Duplornaviricota		Resentoviricetes		Reovirales		Sedoreoviridae		Orbivirus		Orbivirus saintcroixense	ICTV20074589
