tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
L01442_VEEV_IAB	L01442	VEEV IAB	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus venezuelan	ICTV19710086
AF375051_VEEV_IC	AF375051	VEEV IC	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus venezuelan	ICTV19710086
L00930_VEEV_ID	L00930	VEEV ID	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus venezuelan	ICTV19710086
AF075251_EVEV	AF075251	EVEV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus everglades	ICTV19760568
U34999_VEEV_IE	U34999	VEEV IE	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus venezuelan	ICTV19710086
AF075256_PIXV	AF075256	PIXV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus pixuna	ICTV19710081
AF075255_VEEV_IIIC_71D1252	AF075255	VEEV IIIC 71D1252	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus venezuelan	ICTV19710086
VEEV_IIID_PE4-0800		VEEV IIID PE4-0800	nt	none		False																
AF075254_TONV	AF075254	TONV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus tonate	ICTV20074713
AF075253_MUCV	AF075253	MUCV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus mucambo	ICTV19710079
AF075257_MDPV	AF075257	MDPV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus mossopedras	ICTV20074702
AF075258_RNV	AF075258	RNV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus negro	ICTV19991672
AF075259_CABV	AF075259	CABV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus cabassou	ICTV19991676
DQ241303_MADV(EEEV_Lin_II	DQ241303	MADV(EEEV Lin II	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus madariaga	ICTV20125921
DQ241304_MADV(EEEV_Lin_III	DQ241304	MADV(EEEV Lin III	nt	none		False																
EF151503_MADV(EEEV_Lin_IV	EF151503	MADV(EEEV Lin IV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus madariaga	ICTV20125921
EF151502_EEEV	EF151502	EEEV	nt	none		False																
NC_001547_SINV	NC_001547	SINV	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus sindbis	ICTV19991691
M69205_SINV_Ockelbo_virus	M69205	SINV Ockelbo virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus sindbis	ICTV19991691
HM147984_SINV_Babanki_virus	HM147984	SINV Babanki virus	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus sindbis	ICTV19991691
AF103728_SINV_XJ-160	AF103728	SINV XJ-160	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus sindbis	ICTV19991691
AF429428_SINV_SW6562	AF429428	SINV SW6562	nt	none		True	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Alphavirus sindbis	ICTV19991691
