tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
LC006253_yado-kari_virus_1	LC006253	yado-kari virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus ichibani	ICTV202112469
KX349063.1_Rhizoctonia_solani_mycovirus_1_ACCESSION_NOT_ON_SPREADSHEET	KX349063.1	Rhizoctonia solani mycovirus 1	AA	none		False																
MT876192_Picoa_juniperi_yado-kari_virus_1	MT876192	Picoa juniperi yado-kari virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus rokubani	ICTV202112474
LC150617_Fusarium_poae_mycovirus_2	LC150617	Fusarium poae mycovirus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus ichibani	ICTV202112476
MF375888_yado-kari_virus_2	MF375888	yado-kari virus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus nibani	ICTV202112477
LC333755_yado-kari_virus_2	LC333755	yado-kari virus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus nibani	ICTV202112477
LC333757_yado-kari_virus_3	LC333757	yado-kari virus 3	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus sanbani	ICTV202112478
LC333754_yado-kari_virus_4a	LC333754	yado-kari virus 4a	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus yonbani	ICTV202112479
LC333741_yado-kari_virus_4b	LC333741	yado-kari virus 4b	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Betayadokarivirus		Betayadokarivirus yonbani	ICTV202112479
MZ867703.1_Sclerotinia_sclerotiorum_yadokari_virus_1_ACCESSION_NOT_ON_SPREADSHEET	MZ867703.1	Sclerotinia sclerotiorum yadokari virus 1	AA	none		False																
MG012447.1_Sapovirus_GII.5_ACCESSION_NOT_ON_SPREADSHEET	MG012447.1	Sapovirus GII.5	AA	none		False																
HE588148_Aspergillus_foetidus_slow_virus_2	HE588148	Aspergillus foetidus slow virus 2	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus nibani	ICTV202112470
MK279487_Aspergillus_homomorphus_yadokarivirus_1	MK279487	Aspergillus homomorphus yadokarivirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus nibani	ICTV202112470
KT601100_Penicillium_aurantiogriseum_foetidus-like_virus	KT601100	Penicillium aurantiogriseum foetidus-like virus	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus sanbani	ICTV202112471
MK279488_Penicillium_digitatum_yadokarivirus_1	MK279488	Penicillium digitatum yadokarivirus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus yonbani	ICTV202112472
MN551121_Plasmopara_viticola_lesion_associated_yadokari_virus_1	MN551121	Plasmopara viticola lesion associated yadokari virus 1	AA	none		True	Riboviria		Orthornavirae		Pisuviricota				Yadokarivirales		Yadokariviridae		Alphayadokarivirus		Alphayadokarivirus gobani	ICTV202112473
