tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
AUG33463.1_ORF2_Dianke_virus	AUG33463.1	ORF2 Dianke virus	AA	none		False																
ABG02430.2_pp1ab_polyprotein_Nam_Dinh_virus	ABG02430.2	pp1ab polyprotein Nam Dinh virus	AA	none		False																
AGE00056.1_ORF1ab_Hana_virus	AGE00056.1	ORF1ab Hana virus	AA	none		False																
AGL73189.1_ORF2_Karang_Sari_virus	AGL73189.1	ORF2 Karang Sari virus	AA	none		False																
BAN58308.1_pp1b_polyprotein_partial_Dak_Nong_virus	BAN58308.1	pp1b polyprotein partial Dak Nong virus	AA	none		False																
AHV78362.1_ORF_1ab_Casuarina_virus	AHV78362.1	ORF 1ab Casuarina virus	AA	none		False																
AGE00064.1_ORF1ab_Nse_virus	AGE00064.1	ORF1ab Nse virus	AA	none		False																
ANW72259.2_putative_ORF1ab_Kadiweu_virus	ANW72259.2	putative ORF1ab Kadiweu virus	AA	none		False																
AGE00062.1_ORF1ab_Meno_virus	AGE00062.1	ORF1ab Meno virus	AA	none		False																
ANW72253.1_putative_ORF1ab_Ofaie_virus	ANW72253.1	putative ORF1ab Ofaie virus	AA	none		False																
APG77322.1_1ab_Beihai_Nido-like_virus_2	APG77322.1	1ab Beihai Nido-like virus 2	AA	none		False																
APG77342.1_hypothetical_protein_Wenling_nido-like_virus_1	APG77342.1	hypothetical protein Wenling nido-like virus 1	AA	none		False																
APG77307.1_1ab_Beihai_hermit_crab_virus_4	APG77307.1	1ab Beihai hermit crab virus 4	AA	none		False																
QOW03296.1_ORF1b_Macrobrachium_rosenbergii_Golda_virus	QOW03296.1	ORF1b Macrobrachium rosenbergii Golda virus	AA	none		False																
AAF82690.2_ORF1ab_replicase_polyprotein_pp1ab_Gill-associated_virus	AAF82690.2	ORF1ab replicase polyprotein pp1ab Gill-associated virus	AA	none		False																
ACA21302.1_replicase_polyprotein_1ab_Yellow_head_virus	ACA21302.1	replicase polyprotein 1ab Yellow head virus	AA	none		False																
AQS27932.1_replicase_polyprotein_1ab_Yellow_head_virus	AQS27932.1	replicase polyprotein 1ab Yellow head virus	AA	none		False																
